rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,temp_nfkd_it,temp_nfkd_es,it_spanishify,levenshtein
680,maggiore,maggiore,greater,ADJ,mayor que,mayor,ADJ,maggiore,mayor que,maggiore,0.33333333333333337
681,fretta,fretta,rush,NOUN,correr,correr,VERB,fretta,correr,fretta,0.0
682,sarai,saere,you will be,VERB,será,ser,AUX,saere,sera,saer,0.5
687,colpo,colpo,hit,NOUN,golpear,golpear,VERB,colpo,golpear,colpo,0.4285714285714286
688,sarei,sarei,I would be,AUX,sería,ser,AUX,sarei,seria,sarei,0.4
690,caffè,caffè,coffee,NOUN,café,café,NOUN,caffe,cafe,cafè,0.75
691,capisci,capisci,you understand,VERB,entiendes,entender,VERB,capisci,entiendes,capisci,0.11111111111111116
694,camera,Camera,room,NOUN,habitación,habitación,NOUN,Camera,habitacion,Camera,0.19999999999999996
697,arrivo,arrivo,I arrive,NOUN,llego,llego,VERB,arrivo,llego,arrivo,0.16666666666666663
701,deciso,decidere,decided,VERB,decidido,decidido,ADJ,decidere,decidido,decider,0.625
704,addio,addio,Goodbye,NOUN,adiós,adiós,NOUN,addio,adios,addio,0.4
706,inglese,inglese,English,ADJ,inglés,inglés,NOUN,inglese,ingles,inglese,0.7142857142857143
709,fammi,fammi,do for me,VERB,hazlo por mi,hacer él,VERB,fammi,hazlo por mi,fammi,0.25
716,pazzo,pazzo,crazy,ADJ,loco,loco,ADJ,pazzo,loco,pazzo,0.19999999999999996
723,avevi,avevi,you had,VERB,tenias,teniar,VERB,avevi,tenias,avevi,0.16666666666666663
727,matrimonio,matrimonio,marriage,NOUN,casamiento,casamiento,NOUN,matrimonio,casamiento,matrimonio,0.30000000000000004
730,aspetti,aspetto,wait,NOUN,esperar,esperar,VERB,aspetto,esperar,aspetto,0.4285714285714286
733,guai,guaio,trouble,NOUN,problema,problema,NOUN,guaio,problema,guaio,0.0
737,inizio,inizio,start,NOUN,comenzar,comenzar,VERB,inizio,comenzar,inicio,0.0
738,smettila,Smettila,stop that,PROPN,para,para,ADP,Smettila,para,Smettila,0.125
739,diventare,diventare,become,VERB,convertirse,convertir él,VERB,diventare,convertirse,diventar,0.36363636363636365
740,potresti,potresti,you could,AUX,podrías,podriar,AUX,potresti,podrias,potresti,0.375
747,bagno,bagno,bath,NOUN,baño,baño,NOUN,bagno,bano,bano,0.75
748,zio,zio,Uncle,NOUN,tío,tío,NOUN,zio,tio,zio,0.33333333333333337
750,sbagliato,sbagliare,wrong,VERB,equivocado,equivocado,ADJ,sbagliare,equivocado,sbagliar,0.09999999999999998
753,sicurezza,sicurezza,safety,NOUN,seguridad,seguridad,NOUN,sicurezza,seguridad,sicurezza,0.33333333333333337
754,pezzo,pezzo,piece,NOUN,pedazo,pedazo,NOUN,pezzo,pedazo,pezzo,0.6666666666666667
760,porto,porto,port,NOUN,puerto,puerto,NOUN,porto,puerto,porto,0.6666666666666667
764,giocare,giocare,play,VERB,jugar,jugar,VERB,giocare,jugar,giocar,0.33333333333333337
765,lontano,lontano,distant,ADV,distante,distante,ADJ,lontano,distante,lontano,0.375
768,sole,sole,Sun,NOUN,sol,sol,NOUN,sole,sol,sole,0.75
773,viaggio,viaggio,voyage,NOUN,viaje,viaje,PROPN,viaggio,viaje,viaggio,0.4285714285714286
778,semplice,semplice,simple,ADJ,simple,simple,ADJ,semplice,simple,semplice,0.625
780,divertente,divertente,fun,ADJ,divertido,divertido,ADJ,divertente,divertido,divertente,0.6
781,avresti,avresti,you would have,NOUN,tendrías,tendriar,VERB,avresti,tendrias,avresti,0.0
785,permesso,permettere,permit,VERB,permiso,permiso,NOUN,permettere,permiso,permetter,0.4444444444444444
788,sogno,sogno,dream,NOUN,sueño,sueño,NOUN,sogno,sueno,sono,0.4
789,glielo,gli,him,DET,a él,a,ADP,gli,a el,gli,0.0
794,lasciami,lasciame,leave me,AUX,déjame,déjame,VERB,lasciame,dejame,lasciame,0.375
798,fermo,fermo,stopped,ADJ,interrumpido,interrumpido,ADJ,fermo,interrumpido,fermo,0.33333333333333337
799,zitto,ziggere,Shut up,NOUN,callarse la boca,callar él,VERB,ziggere,callarse la boca,zigger,0.0625
803,colonnello,colonnello,colonel,NOUN,coronel,coronel,NOUN,colonnello,coronel,colonnello,0.6
804,stupido,stupido,stupid,ADJ,estúpido,estúpido,ADJ,stupido,estupido,stupido,0.75
807,fame,fama,hunger,NOUN,hambre,hambre,NOUN,fama,hambre,fama,0.33333333333333337
808,cura,curare,treatment,VERB,tratamiento,tratamiento,NOUN,curare,tratamiento,curar,0.09090909090909094
809,prigione,prigione,prison,NOUN,prisión,prisión,NOUN,prigione,prision,prigion,0.7142857142857143
811,farai,farai,you will do,VERB,harás,harás,VERB,farai,haras,farai,0.4
813,buonanotte,buonanotta,Good night,ADJ,buenas noches,buena,ADJ,buonanotta,buenas noches,buonanotta,0.46153846153846156
815,prossima,prossimo,next,ADJ,próximo,próximo,ADJ,prossimo,proximo,prossimo,0.625
820,circa,circa,about,ADV,acerca de,acerca,ADV,circa,acerca de,circa,0.4444444444444444
821,funziona,funzionare,works,VERB,obras,obra,NOUN,funzionare,obras,funzionar,0.11111111111111116
823,brutto,brutto,ugly,ADJ,feo,feo,ADJ,brutto,feo,brutto,0.16666666666666663
824,vattene,vattene,get out,VERB,salir,salir,VERB,vattene,salir,vattene,0.1428571428571429
827,peccato,peccato,Sin,NOUN,pecado,pecadir,VERB,peccato,pecado,peccato,0.7142857142857143
828,mattina,mattina,morning,NOUN,mañana,mañana,ADV,mattina,manana,mattina,0.5714285714285714
829,consiglio,consigliare,advise,VERB,aconsejar,aconsejar,VERB,consigliare,aconsejar,consilliar,0.5
835,scelta,scegliere,choice,VERB,elección,elección,NOUN,scegliere,eleccion,scejer,0.125
836,possibilità,possibilità,possibility,NOUN,posibilidad,posibilidad,NOUN,possibilita,posibilidad,possibilità,0.6363636363636364
837,spesso,spesso,Often,ADV,a menudo,a,ADP,spesso,a menudo,spesso,0.25
840,piuttosto,piuttosto,rather,ADV,bastante,bastante,ADV,piuttosto,bastante,piuttosto,0.2222222222222222
842,fondo,fondo,bottom,NOUN,abajo,abajo,ADV,fondo,abajo,fondo,0.19999999999999996
845,ospedale,ospedale,hospital,NOUN,hospital,hospital,NOUN,ospedale,hospital,ospedal,0.625
846,qualunque,qualunque,anyone,DET,alguien,alguien,PRON,qualunque,alguien,qualunque,0.2222222222222222
851,oltre,oltre,beyond,ADV,más allá de,más,ADV,oltre,mas alla de,oltre,0.18181818181818177
855,messaggio,messaggio,message,NOUN,mensaje,mensaje,NOUN,messaggio,mensaje,messaggio,0.4444444444444444
856,giornata,giornata,day,NOUN,día,día,NOUN,giornata,dia,giornata,0.125
861,mandato,mandare,mandate,VERB,mandato,mandato,NOUN,mandare,mandato,mandar,0.7142857142857143
864,libero,libero,free,ADJ,gratis,gratis,PROPN,libero,gratis,libero,0.0
865,aereo,aereo,airplane,NOUN,avión,avión,NOUN,aereo,avion,aereo,0.19999999999999996
866,ricevuto,ricevere,received,VERB,recibió,recibir,VERB,ricevere,recibio,ricever,0.2857142857142857
872,stronzo,stronzo,asshole,VERB,estúpido,estúpido,ADJ,stronzo,estupido,stronzo,0.375
873,mostro,mostro,monster,NOUN,monstruo,monstruo,NOUN,mostro,monstruo,mostro,0.75
874,sette,sette,seven,NUM,siete,siete,NUM,sette,siete,sette,0.6
882,partita,partita,match,NOUN,fósforo,fósforo,NOUN,partita,fosforo,partita,0.0
883,gentile,gentile,Kind,ADJ,amable,amable,ADJ,gentile,amable,gentile,0.2857142857142857
891,peggio,peggio,worse,ADV,peor,peor,ADJ,peggio,peor,peggio,0.33333333333333337
893,genitori,genitore,parents,NOUN,padres,padre,NOUN,genitore,padres,genitore,0.125
895,solito,solito,usual,ADJ,habitual,habitual,ADJ,solito,habitual,solito,0.25
896,anima,anima,soul,NOUN,alma,alma,NOUN,anima,alma,anima,0.6
898,buonasera,Buonasera,Good evening,PROPN,buenas noches,buena,ADJ,Buonasera,buenas noches,Buonasera,0.3076923076923077
904,pieno,pieno,full,ADJ,lleno,lleno,ADJ,pieno,lleno,pieno,0.6
905,rapporto,rapporto,relationship,NOUN,relación,relación,NOUN,rapporto,relacion,rapporto,0.125
909,carino,carino,cute,ADJ,lindo,lindo,ADJ,carino,lindo,carino,0.33333333333333337
910,scoperto,scoprire,discovery,VERB,descubrimiento,descubrimiento,PROPN,scoprire,descubrimiento,scoprir,0.2857142857142857
912,denaro,denaro,money,NOUN,dinero,dinero,NOUN,denaro,dinero,denaro,0.6666666666666667
913,compagnia,compagnia,company,NOUN,compañía,compañía,NOUN,compagnia,compania,compania,0.75
915,avvocato,avvocato,lawyer,NOUN,abogado,abogado,NOUN,avvocato,abogado,avocato,0.5714285714285714
917,vestito,vestire,dress,VERB,vestido,vestido,ADJ,vestire,vestido,vestir,0.7142857142857143
918,ottimo,ottimo,Optimal,ADJ,óptimo,óptimo,ADJ,ottimo,optimo,ottimo,0.6666666666666667
920,esercito,esercito,army,NOUN,ejército,ejército,NOUN,esercito,ejercito,esercito,0.75
926,chiunque,chiunque,whoever,PRON,quien,quien,PRON,chiunque,quien,chiunque,0.25
929,milioni,milione,millions,NOUN,millones,millón,NOUN,milione,millones,milion,0.625
930,cibo,cibo,food,NOUN,alimento,alimento,NOUN,cibo,alimento,cibo,0.25
934,laggiù,laggiù,over there,ADV,allí,allí,ADV,laggiu,alli,laggiù,0.16666666666666663
937,chiave,chiave,key,NOUN,llave,llave,NOUN,chiave,llave,chiave,0.5
939,diritto,diritto,right,NOUN,bien,bien,ADV,diritto,bien,diritto,0.1428571428571429
940,dimenticato,dimenticare,forgotten,VERB,olvidado,olvidado,ADJ,dimenticare,olvidado,dimenticar,0.09999999999999998
942,natale,Natale,Christmas,PROPN,navidad,navidad,PROPN,Natale,navidad,Natal,0.2857142857142857
944,altrimenti,altrimenti,otherwise,ADV,de lo contrario,de,ADP,altrimenti,de lo contrario,altrimenti,0.19999999999999996
951,ritardo,ritardo,delay,NOUN,demora,demorar,VERB,ritardo,demora,ritardo,0.1428571428571429
952,realtà,realtà,reality,NOUN,realidad,realidad,NOUN,realta,realidad,realtà,0.5
959,addosso,addosso,on,ADV,en,en,ADP,addosso,en,addosso,0.0
960,entrambi,entrambi,both,PRON,ambos,ambos,NUM,entrambi,ambos,entrambi,0.25
963,interessa,interessare,interest,VERB,interés,interés,NOUN,interessare,interes,interessar,0.6
965,risposta,risposta,answer,NOUN,respuesta,respuesta,NOUN,risposta,respuesta,risposta,0.6666666666666667
966,rispetto,rispetto,respect,ADV,respeto,respeto,NOUN,rispetto,respeto,rispetto,0.75
967,pena,pena,sorry,NOUN,lo siento,él,PRON,pena,lo siento,pena,0.2222222222222222
968,gesù,Gesù,Jesus,PROPN,jesús,jesús,PROPN,Gesu,jesus,Gesù,0.4
970,incontro,incontro,encounter,NOUN,encontrar,encontrar,VERB,incontro,encontrar,incontro,0.6666666666666667
972,occhiata,occhiato,look,VERB,mirar,mirar,VERB,occhiato,mirar,occhiato,0.125
974,cioè,cioè,Meaning what,CCONJ,que quieres decir,que,SCONJ,cioe,que quieres decir,cioè,0.05882352941176472
977,sorpresa,sorprendere,surprise,VERB,sorpresa,sorpresa,NOUN,sorprendere,sorpresa,sorprender,0.6
979,salute,salute,Health,NOUN,salud,salud,NOUN,salute,salud,salute,0.6666666666666667
980,lettera,lettera,letter,NOUN,carta,carta,NOUN,lettera,carta,lettera,0.2857142857142857
982,grosso,grosso,big,ADJ,grande,grande,ADJ,grosso,grande,grosso,0.33333333333333337
984,mica,mica,not,ADV,no,no,ADV,mica,no,mica,0.0
987,aiutare,aiutare,help,VERB,ayuda,ayuda,NOUN,aiutare,ayuda,aiutar,0.5
988,sinistra,sinistra,left,NOUN,izquierda,izquierdo,ADJ,sinistra,izquierda,sinistra,0.2222222222222222
991,canzone,canzone,song,NOUN,canción,canción,NOUN,canzone,cancion,canzone,0.4285714285714286
999,gruppo,Gruppo,group,PROPN,grupo,grupo,NOUN,Gruppo,grupo,Gruppo,0.6666666666666667
1000,giuro,giurare,I swear,VERB,lo juro,él,PRON,giurare,lo juro,giurar,0.1428571428571429
1005,idiota,idiota,idiot,ADJ,estúpido,estúpido,ADJ,idiota,estupido,idiota,0.0
1006,missione,missione,mission,NOUN,misión,misión,NOUN,missione,mision,mission,0.7142857142857143
1007,dunque,dunque,so,ADV,entonces,entonces,ADV,dunque,entonces,dunque,0.125
1009,pranzo,pranzo,lunch,NOUN,almuerzo,almuerzo,NOUN,pranzo,almuerzo,pranzo,0.25
1014,parigi,Parigi,Paris,PROPN,parís,parís,PROPN,Parigi,paris,Parigi,0.33333333333333337
1018,diverso,diverso,different,ADJ,diferente,diferente,ADJ,diverso,diferente,diverso,0.4444444444444444
1022,sesso,sesso,sex,NOUN,sexo,sexo,NOUN,sesso,sexo,sesso,0.6
1024,base,base,basic,NOUN,básico,básico,ADJ,base,basico,base,0.33333333333333337
1025,partire,partire,start,VERB,comenzar,comenzar,VERB,partire,comenzar,partir,0.125
1026,prove,prova,tests,VERB,pruebas,prueba,NOUN,prova,pruebas,prova,0.4285714285714286
1027,chiuso,chiudere,closed,VERB,cerrado,cerrado,ADJ,chiudere,cerrado,chiuder,0.1428571428571429
1031,ponte,Ponte,bridge,PROPN,puente,puente,NOUN,Ponte,puente,Ponte,0.5
1032,esempio,esempio,example,NOUN,ejemplo,ejemplo,NOUN,esempio,ejemplo,esempio,0.7142857142857143
1034,rimasto,rimanere,remained,VERB,se mantuvo,él,PRON,rimanere,se mantuvo,rimaner,0.30000000000000004
1035,mille,mille,one thousand,NUM,mil,mil,NUM,mille,mil,mille,0.6
1036,caccia,cacciare,hunting,VERB,caza,cazar,VERB,cacciare,caza,cacciar,0.4285714285714286
1037,stanotte,stanotte,tonight,NOUN,esta noche,este,DET,stanotte,esta noche,stanotte,0.6
1040,simile,simile,similar,ADJ,similar,similar,ADJ,simile,similar,simile,0.7142857142857143
1042,libertà,libertà,freedom,NOUN,libertad,libertad,NOUN,liberta,libertad,libertà,0.75
1044,comando,comando,command,NOUN,dominio,dominio,NOUN,comando,dominio,comando,0.5714285714285714
1045,accidenti,accidento,damn!,NOUN,¡maldición!,¡,PUNCT,accidento,¡maldicion!,accidento,0.18181818181818177
1046,tenere,tenere,hold,VERB,sostener,sostener,VERB,tenere,sostener,tener,0.625
1048,questione,questione,question,NOUN,pregunta,preguntar,VERB,questione,pregunta,question,0.125
1052,rumore,rumore,noise,NOUN,ruido,ruido,NOUN,rumore,ruido,rumore,0.33333333333333337
1054,siediti,siedire,sit down,VERB,siéntate,siéntatir,VERB,siedire,sientate,siedir,0.25
1055,apri,aprire,you open,VERB,abre,abrir,VERB,aprire,abre,aprir,0.4
1056,appuntamento,appuntamento,appointment,NOUN,cita,cita,NOUN,appuntamento,cita,appuntamento,0.16666666666666663
1058,destra,destra,right,ADJ,bien,bien,ADV,destra,bien,destra,0.0
1061,oppure,oppure,or,CCONJ,o,o,CCONJ,oppure,o,oppure,0.16666666666666663
1063,nemico,nemico,enemy,NOUN,enemigo,enemigo,NOUN,nemico,enemigo,nemico,0.7142857142857143
1066,pubblico,pubblico,public,ADJ,público,público,ADJ,pubblico,publico,pubblico,0.75
1068,parlo,parlo,I speak,VERB,hablo,hablar,VERB,parlo,hablo,parlo,0.6
1069,vinto,vincere,won,VERB,ganado,ganar,VERB,vincere,ganado,vincer,0.16666666666666663
1072,volevi,volevi,you wanted,VERB,querías,querías,NOUN,volevi,querias,volevi,0.0
1073,otto,otto,eight,NUM,ocho,ocho,NUM,otto,ocho,otto,0.5
1076,braccio,braccio,arm,NOUN,brazo,brazo,NOUN,braccio,brazo,braccio,0.5714285714285714
1077,assassino,assassino,murderer,NOUN,asesino,asesino,NOUN,assassino,asesino,assassino,0.6666666666666667
1078,manca,mancare,lacks,VERB,carece,carecer,VERB,mancare,carece,mancar,0.16666666666666663
1079,promesso,promettere,promised,VERB,prometido,prometido,ADJ,promettere,prometido,prometter,0.6666666666666667
1080,affatto,affatto,at all,ADV,en absoluto,en,ADP,affatto,en absoluto,afatto,0.2727272727272727
1081,insomma,insomma,In short,ADV,en breve,en,ADP,insomma,en breve,insomma,0.125
1082,caldo,caldo,heat,ADJ,calor,calor,NOUN,caldo,calor,caldo,0.6
1086,spettacolo,spettacolo,show,NOUN,espectáculo,espectáculo,NOUN,spettacolo,espectaculo,spettacolo,0.6363636363636364
1087,metà,metà,half,NOUN,medio,medio,NUM,meta,medio,metà,0.4
1088,eccolo,eccolo,there he is,ADV,ahi esta,ahi,PROPN,eccolo,ahi esta,eccolo,0.0
1089,dott,Dott,Dr,NOUN,dr,dr,PROPN,Dott,dr,Dott,0.0
1090,seconda,seconda,second,ADJ,segundo,segundo,ADJ,seconda,segundo,seconda,0.5714285714285714
1092,dura,durare,tough,VERB,difícil,difícil,ADJ,durare,dificil,durar,0.1428571428571429
1093,attacco,attacco,attack,NOUN,ataque,ataque,NOUN,attacco,ataque,attacco,0.4285714285714286
1095,tranquillo,tranquillo,Calm,ADJ,calma,calma,NOUN,tranquillo,calma,tranquillo,0.19999999999999996
1099,spirito,spirito,spirit,NOUN,espíritu,espíritu,NOUN,spirito,espiritu,spirito,0.625
1100,razza,razza,race,NOUN,carrera,carrera,NOUN,razza,carrera,razza,0.2857142857142857
1101,piû,piû,more,VERB,más,más,ADV,piu,mas,piû,0.0
1103,studio,studio,study,NOUN,estudiar,estudiar,VERB,studio,estudiar,studio,0.625
1108,scusami,scusami,Excuse me,VERB,disculpe,disculpe,VERB,scusami,disculpe,scusami,0.25
1111,cervello,cervello,brain,NOUN,cerebro,cerebro,NOUN,cervello,cerebro,cervello,0.625
1112,saresti,sarestio,would you be,PRON,estarías,estaría,NOUN,sarestio,estarias,sarestio,0.125
1113,regina,reginare,Queen,VERB,reina,reina,NOUN,reginare,reina,reginar,0.7142857142857143
1115,sud,sud,south,NOUN,sur,sur,NOUN,sud,sur,sud,0.6666666666666667
1116,intendo,intendere,I intend,VERB,pretendo,pretender,VERB,intendere,pretendo,intender,0.375
1121,sposato,sposare,married,VERB,casado,casado,ADJ,sposare,casado,sposar,0.16666666666666663
1123,gamba,gamba,leg,NOUN,pierna,pierna,NOUN,gamba,pierna,gamba,0.16666666666666663
1126,chiesa,chiesa,church,NOUN,iglesia,iglesia,PROPN,chiesa,iglesia,chiesa,0.4285714285714286
1128,scappare,scappare,escape,VERB,escapar,escapar,VERB,scappare,escapar,scappar,0.7142857142857143
1133,tizio,tizio,dude,NOUN,dudar,dudar,VERB,tizio,dudar,ticio,0.0
1137,esiste,esistere,exists,VERB,existe,existir,VERB,esistere,existe,esister,0.7142857142857143
1139,povero,povero,poor,ADJ,pobre,pobre,ADJ,povero,pobre,povero,0.5
1144,cerco,cercere,I look for,VERB,estoy buscando,estar,AUX,cercere,estoy buscando,cercer,0.0714285714285714
1146,ballo,ballo,dance,NOUN,bailar,bailar,VERB,ballo,bailar,ballo,0.5
1148,serata,serata,evening,NOUN,noche,noche,NOUN,serata,noche,serata,0.0
1149,rosso,rosso,red,ADJ,rojo,rojo,NOUN,rosso,rojo,rosso,0.6
1153,luogo,luogo,place,NOUN,lugar,lugar,NOUN,luogo,lugar,luogo,0.4
1157,proposito,proposire,purpose,PROPN,objetivo,objetivo,NOUN,proposire,objetivo,proposir,0.0
1158,popolo,Popolo,people,PROPN,gente,gente,NOUN,Popolo,gente,Popolo,0.0
1160,colpito,colpire,hit,VERB,golpear,golpear,VERB,colpire,golpear,colpir,0.5714285714285714
1167,occasione,occasione,occasion,NOUN,ocasión,ocasión,NOUN,occasione,ocasion,occasion,0.75
1171,sissignore,sissignore,yes sir,NOUN,"sí, señor",sí,INTJ,sissignore,"si, senor",sissinore,0.33333333333333337
1172,palla,palla,ball,NOUN,pelota,pelota,NOUN,palla,pelota,palla,0.5
1178,ritorno,ritorno,return,NOUN,devolver,devolver,VERB,ritorno,devolver,ritorno,0.125
1185,scarpe,scarpa,shoes,NOUN,zapatos,zapato,NOUN,scarpa,zapatos,scarpa,0.1428571428571429
1186,piangere,piangere,cry,VERB,llorar,llorar,VERB,piangere,llorar,pianger,0.1428571428571429
1189,prue,prue,bow,NOUN,arco,arco,NOUN,prue,arco,prue,0.25
1191,pericolo,pericolo,danger,NOUN,peligro,peligro,NOUN,pericolo,peligro,pericolo,0.5
1199,ferma,fermare,stop,VERB,detener,detener,VERB,fermare,detener,fermar,0.2857142857142857
1202,temo,temere,I&#39;m afraid,VERB,me temo que,yo,PRON,temere,me temo que,temer,0.2727272727272727
1205,sappia,sappia,know,VERB,saber,saber,AUX,sappia,saber,sappia,0.33333333333333337
1208,cucina,cucinare,Kitchen,VERB,cocina,cocina,NOUN,cucinare,cocina,cucinar,0.7142857142857143
1210,tale,tale,such,DET,semejante,semejante,ADJ,tale,semejante,tal,0.11111111111111116
1212,lascio,lascio,I leave,VERB,dejo,dejar,VERB,lascio,dejo,lascio,0.16666666666666663
1213,chissà,chissà,maybe,ADV,tal vez,tal,NOUN,chissa,tal vez,chissà,0.0
1215,fallo,fallo,just do it,NOUN,hazlo,hacer él,VERB,fallo,hazlo,fallo,0.6
1216,veloce,veloce,fast,ADJ,rápido,rápido,ADJ,veloce,rapido,veloce,0.0
1217,digli,diglio,say to Him,ADJ,dile a,dilar,VERB,diglio,dile a,dillio,0.5
1219,naso,naso,nose,NOUN,nariz,nariz,NOUN,naso,nariz,naso,0.4
1220,attraverso,attraverso,through,ADP,a través de,a,ADP,attraverso,a traves de,attraverso,0.4545454545454546
1221,rotta,rotta,route,NOUN,ruta,ruta,NOUN,rotta,ruta,rotta,0.6
1223,imparare,imparare,learn,VERB,aprender,aprender,VERB,imparare,aprender,imparar,0.125
1224,bacio,bacio,kiss,NOUN,beso,beso,NOUN,bacio,beso,bacio,0.4
1226,riuscito,riuscire,succeeded,VERB,tuvo éxito,tener,VERB,riuscire,tuvo exito,riuscir,0.09999999999999998
1227,nonno,nonno,grampa,NOUN,abuelo,abuelo,NOUN,nonno,abuelo,nonno,0.16666666666666663
1228,volo,volo,flight,NOUN,vuelo,vuelo,NOUN,volo,vuelo,volo,0.6
1230,carta,carta,paper,NOUN,papel,papel,NOUN,carta,papel,carta,0.19999999999999996
1231,pomeriggio,pomeriggio,afternoon,NOUN,tarde,tarde,ADV,pomeriggio,tarde,pomeriggio,0.09999999999999998
1236,schifo,schifo,disgust,NOUN,asco,asco,NOUN,schifo,asco,schifo,0.33333333333333337
1238,francese,francese,French,ADJ,francés,francés,ADJ,francese,frances,francese,0.75
1240,età,età,age,NOUN,edad,edad,NOUN,eta,edad,età,0.25
1242,passaggio,passaggio,ride,NOUN,conducir,conducir,VERB,passaggio,conducir,passaggio,0.11111111111111116
1246,segno,segno,sign,NOUN,firmar,firmar,VERB,segno,firmar,seno,0.0
1248,fiume,Fiume,river,PROPN,río,río,NOUN,Fiume,rio,Fiume,0.0
1249,ascoltami,ascoltami,listen to me,VERB,escúchame,escúchamir,VERB,ascoltami,escuchame,ascoltami,0.4444444444444444
1251,sé,sé,self,PRON,ser,ser,AUX,se,ser,sé,0.33333333333333337
1252,rubato,rubare,stolen,VERB,robado,robado,ADJ,rubare,robado,rubar,0.5
1260,ridere,ridere,LAUGH,VERB,reír,reír,VERB,ridere,reir,rider,0.4
1267,figliolo,figliolo,son,NOUN,hijo,hijo,NOUN,figliolo,hijo,filliolo,0.25
1268,cattivo,cattivo,bad,ADJ,malo,malo,ADJ,cattivo,malo,cattivo,0.2857142857142857
1271,scherzando,scherzare,joking,VERB,bromas,broma,NOUN,scherzare,bromas,scherzar,0.125
1273,lato,lato,side,NOUN,lado,lado,NOUN,lato,lado,lato,0.75
1274,birra,birra,beer,NOUN,cerveza,cerveza,NOUN,birra,cerveza,birra,0.2857142857142857
1276,blu,blu,blue,ADJ,azul,azul,ADJ,blu,azul,blu,0.25
1277,spalle,spalla,shoulders,NOUN,espalda,espalda,NOUN,spalla,espalda,spalla,0.7142857142857143
1279,inutile,inutile,useless,ADJ,inútil,inútil,ADJ,inutile,inutil,inutile,0.7142857142857143
1280,equipaggio,equipaggio,crew,NOUN,multitud,multitud,NOUN,equipaggio,multitud,equipaggio,0.09999999999999998
1283,rotto,rompere,broken,VERB,roto,roto,ADJ,rompere,roto,romper,0.33333333333333337
1284,giornale,giornale,newspaper,NOUN,periódico,periódico,NOUN,giornale,periodico,giornal,0.11111111111111116
1287,seguito,seguire,following,VERB,siguiente,siguiente,ADJ,seguire,siguiente,seguir,0.4444444444444444
1290,nove,nove,nine,NUM,nueve,nueve,NUM,nove,nueve,nove,0.6
1291,andrò,anard,I will go,NOUN,voy a ir,ir,AUX,anard,voy a ir,anard,0.125
1293,riguardo,riguardo,regard,NOUN,respecto,respecto,NOUN,riguardo,respecto,riguardo,0.25
1294,puô,puô,can,NOUN,poder,poder,AUX,puo,poder,puô,0.19999999999999996
1297,tavolo,tavolo,table,NOUN,mesa,mesa,NOUN,tavolo,mesa,tavolo,0.0
1298,nord,nord,north,NOUN,norte,norte,NOUN,nord,norte,nord,0.6
1299,latte,latta,milk,NOUN,leche,leche,NOUN,latta,leche,latta,0.19999999999999996
1300,corso,correre,course,VERB,curso,curso,NOUN,correre,curso,correr,0.33333333333333337
1301,sergente,sergenta,sergeant,PROPN,sargento,sargento,NOUN,sergenta,sargento,sergenta,0.75
1302,perciò,perciò,therefore,ADV,por lo tanto,por,ADP,percio,por lo tanto,perciò,0.16666666666666663
1303,governo,governo,government,NOUN,gobierno,gobierno,PROPN,governo,gobierno,governo,0.75
1305,venuti,venere,came,NOUN,vino,venir,VERB,venere,vino,vener,0.4
1309,piú,piú,more,ADV,más,más,ADV,piu,mas,piú,0.0
1310,scommetto,scommere,I bet,VERB,te apuesto,tú,PRON,scommere,te apuesto,scommer,0.09999999999999998
1314,banca,Banca,bank,NOUN,banco,banco,NOUN,Banca,banco,Banca,0.6
1316,salvare,salvare,to save,VERB,ahorrar,ahorrar,VERB,salvare,ahorrar,salvar,0.2857142857142857
1318,fiori,fiore,flowers,NOUN,flores,flor,NOUN,fiore,flores,fiore,0.6666666666666667
1320,finestra,finestra,window,NOUN,ventana,ventana,NOUN,finestra,ventana,finestra,0.25
1322,benvenuto,benvenuto,welcome,ADJ,bienvenido,bienvenido,ADJ,benvenuto,bienvenido,benvenuto,0.7
1326,suppongo,suppongere,I presume,VERB,supongo,suponer,VERB,suppongere,supongo,supponger,0.6666666666666667
1327,battaglia,battaglia,battle,NOUN,batalla,batalla,NOUN,battaglia,batalla,battaglia,0.6666666666666667
1328,rende,rendere,makes,VERB,marcas,marca,NOUN,rendere,marcas,render,0.0
1329,poliziotto,poliziotto,police officer,NOUN,oficial de policía,oficial,ADJ,poliziotto,oficial de policia,policiotto,0.2222222222222222
1330,pericoloso,pericoloso,dangerous,ADJ,peligroso,peligroso,ADJ,pericoloso,peligroso,pericoloso,0.6
1333,villaggio,villaggio,village,NOUN,aldea,aldea,NOUN,villaggio,aldea,villaggio,0.11111111111111116
1335,fede,fede,wedding ring,NOUN,anillo de bodas,anillo,NOUN,fede,anillo de bodas,fede,0.1333333333333333
1336,comincia,cominciare,it starts,VERB,comienza,comenzar,VERB,cominciare,comienza,cominciar,0.5555555555555556
1339,accanto,accanto,next to,ADV,junto a,junto,ADJ,accanto,junto a,accanto,0.1428571428571429
1340,principessa,principesso,princess,PRON,princesa,princesa,NOUN,principesso,princesa,principesso,0.6363636363636364
1347,sparato,sparare,shot,VERB,disparo,disparo,NOUN,sparare,disparo,sparar,0.4285714285714286
1352,nato,nascere,born,VERB,nacido,nacido,ADJ,nascere,nacido,nascer,0.33333333333333337
1353,gioia,gioia,joy,NOUN,alegría,alegría,NOUN,gioia,alegria,gioia,0.1428571428571429
