rango,parola,lemma,inglese,pos,spagnolo,lemma_es,pos_es,match_type,score
3075,tette,tetta,tits,NOUN,tetas,teta,NOUN,wordnet,0.8
3095,ambulanza,ambulanza,ambulance,NOUN,ambulancia,ambulancia,NOUN,levenshtein,0.8
3305,struttura,struttura,structure,NOUN,estructura,estructura,NOUN,levenshtein,0.8
3344,divertiti,divertire,have fun,VERB,divertirse,divertir él,VERB,levenshtein,0.8
3364,alma,almare,soul,ADJ,alma,alma,NOUN,levenshtein,0.8
3429,produzione,produzione,production,NOUN,producción,producción,NOUN,levenshtein,0.8
3443,considerato,considerare,considered,VERB,consideró,considerar,VERB,levenshtein,0.8
3460,negri,negre,blacks,ADJ,negros,negro,NOUN,wordnet,0.8
3556,furto,furto,theft,NOUN,robo,robo,NOUN,wordnet,0.8
3649,amata,amato,beloved,VERB,amado,amado,ADJ,levenshtein,0.8
3665,discussione,discussione,discussion,NOUN,discusión,discusión,NOUN,levenshtein,0.8
3733,segretaria,segretaria,secretary,NOUN,secretario,secretario,NOUN,levenshtein,0.8
3805,ciel,ciel,sky,VERB,cielo,cielo,NOUN,levenshtein,0.8
3830,andai,andai,I went,VERB,fui,ir,AUX,wordnet,0.8
4021,trasporto,trasporto,transport,NOUN,transporte,transporte,NOUN,levenshtein,0.8
4024,sesto,sesto,sixth,ADJ,sexto,sexto,ADJ,levenshtein,0.8
4051,abitanti,abitante,inhabitants,NOUN,habitantes,habitante,NOUN,levenshtein,0.8
4083,secco,secco,dry,NOUN,seco,seco,ADJ,levenshtein,0.8
4112,produttore,produttore,producer,NOUN,productor,productor,NOUN,levenshtein,0.8
4347,tasse,tassa,taxes,NOUN,impuestos,impuesto,NOUN,wordnet,0.8
4359,peste,pesta,plague,VERB,plaga,plaga,NOUN,wordnet,0.8
4439,feli,feli,happy,VERB,feliz,feliz,ADJ,levenshtein,0.8
4457,usate,usato,used,VERB,usado,usado,ADJ,levenshtein,0.8
4708,evviva,evviva,hurray,VERB,viva,vivir,VERB,levenshtein,0.8
4765,bicicletta,Bicicletta,bicycle,PROPN,bicicleta,bicicleta,PROPN,levenshtein,0.8
4786,note,nota,notes,ADJ,notas,nota,NOUN,levenshtein,0.8
4843,compassione,compassione,compassion,NOUN,compasión,compasión,NOUN,levenshtein,0.8
4866,psichiatra,psichiatra,psychiatrist,NOUN,psiquiatra,psiquiatra,NOUN,levenshtein,0.8
4867,professione,professione,profession,NOUN,profesión,profesión,NOUN,levenshtein,0.8
4918,registrato,registrare,registered,VERB,registrado,registrado,ADJ,levenshtein,0.8
4985,giuramento,giuramento,oath,NOUN,juramento,juramento,NOUN,levenshtein,0.8
4006,mastropiero,mastropiero,master pietro,VERB,maestro pietro,maestro,NOUN,levenshtein,0.7857142857142857
4332,estremamente,estremamente,extremely,ADV,extremadamente,extremadamente,ADV,levenshtein,0.7857142857142857
300,succede,succedere,happens,VERB,sucede,suceder,VERB,wordnet,0.7777777777777778
474,conosco,conoscere,I know,VERB,sé,saber,VERB,wordnet,0.7777777777777778
489,ricordo,ricordare,I remember,VERB,recuerdo,recordar,VERB,wordnet,0.7777777777777778
555,significa,significare,it means,VERB,significa,significar,VERB,levenshtein,0.7777777777777778
620,controllo,controllo,check,NOUN,controlar,controlar,VERB,levenshtein,0.7777777777777778
834,continua,continuare,continues,VERB,continúa,continuar,VERB,levenshtein,0.7777777777777778
981,incidente,incidente,accident,NOUN,accidente,accidente,NOUN,levenshtein,0.7777777777777778
1188,intenzione,intenzione,intention,NOUN,intención,intención,NOUN,levenshtein,0.7777777777777778
1234,direttore,direttore,director,NOUN,director,director,NOUN,levenshtein,0.7777777777777778
1370,iniziare,iniziare,start,VERB,comenzar,comenzar,VERB,wordnet,0.7777777777777778
1579,dipende,dipendere,Depends,VERB,depende,depender,VERB,wordnet,0.7777777777777778
1750,presento,presentare,I present,VERB,presento,presentar,VERB,levenshtein,0.7777777777777778
1855,distanza,distanza,distance,NOUN,distancia,distancia,NOUN,levenshtein,0.7777777777777778
2198,obiettivo,obiettivo,objective,NOUN,objetivo,objetivo,NOUN,levenshtein,0.7777777777777778
2276,preparato,preparare,prepared,VERB,preparado,preparado,ADJ,levenshtein,0.7777777777777778
2382,risultato,risultato,result,NOUN,resultado,resultado,NOUN,levenshtein,0.7777777777777778
2739,proposta,proposta,proposal,NOUN,propuesta,propuesta,NOUN,levenshtein,0.7777777777777778
2875,esplosione,esplosione,explosion,NOUN,explosión,explosión,NOUN,levenshtein,0.7777777777777778
3134,accompagno,accompagno,I accompany,NOUN,acompaño,acompañar,VERB,levenshtein,0.7777777777777778
3188,inventato,inventare,invented,VERB,inventado,inventado,ADJ,levenshtein,0.7777777777777778
3215,furgone,furgone,van,NOUN,furgoneta,furgoneta,NOUN,levenshtein,0.7777777777777778
3333,rinunciare,rinunciare,renounce,VERB,renuncia,renunciar,VERB,levenshtein,0.7777777777777778
3781,complesso,complesso,complex,ADJ,complejo,complejo,ADJ,levenshtein,0.7777777777777778
4038,elettrica,elettrico,electric,ADJ,eléctrico,eléctrico,ADJ,levenshtein,0.7777777777777778
4063,informato,informare,informed,VERB,informado,informado,ADJ,levenshtein,0.7777777777777778
4066,esecuzione,esecuzione,execution,NOUN,ejecución,ejecución,NOUN,levenshtein,0.7777777777777778
4225,risulta,risultare,it turns out,VERB,resulta que,resultar,VERB,wordnet,0.7777777777777778
4349,sfortunatamente,sfortunatamente,unfortunately,ADV,desafortunadamente,desafortunadamente,ADV,levenshtein,0.7777777777777778
4444,disgrazia,disgrazia,misfortune,NOUN,desgracia,desgracia,NOUN,levenshtein,0.7777777777777778
4504,rispettare,rispettare,to respect,VERB,respetar,respetar,VERB,levenshtein,0.7777777777777778
4521,esagerato,esagerato,exaggerated,ADJ,exagerado,exagerado,ADJ,levenshtein,0.7777777777777778
4861,scandalo,scandalo,scandal,NOUN,escándalo,escándalo,NOUN,levenshtein,0.7777777777777778
1551,semplicemente,semplicemente,simply,ADV,simplemente,simplemente,ADV,levenshtein,0.7692307692307692
3359,decisamente,decisamente,decidedly,ADV,decididamente,decididamente,ADV,levenshtein,0.7692307692307692
4864,rappresenta,rappresentare,represents,VERB,representa,representar,VERB,wordnet,0.7692307692307692
28,come,come,as,ADP,como,como,SCONJ,levenshtein,0.75
36,sei,sei,six,NUM,seis,seis,NUM,levenshtein,0.75
118,vita,vita,life,NOUN,vida,vida,NOUN,levenshtein,0.75
180,male,male,bad,ADV,malo,malo,ADJ,levenshtein,0.75
207,tre,tre,Three,NUM,tres,tres,NUM,levenshtein,0.75
306,capitano,capitano,captain,NOUN,capitán,capitán,NOUN,levenshtein,0.75
308,storia,storia,history,NOUN,historia,historia,NOUN,levenshtein,0.75
331,dato,dare,given,VERB,dado,dar,VERB,wordnet,0.75
348,fine,fine,end,NOUN,fin,fin,NOUN,levenshtein,0.75
367,quale,quale,Which,ADP,cual,cual,PRON,levenshtein,0.75
482,almeno,almeno,at least,ADV,al menos,al,ADP,levenshtein,0.75
495,difficile,difficile,difficult,ADJ,difícil,difícil,ADJ,levenshtein,0.75
542,cane,cane,dog,NOUN,perro,perro,PROPN,wordnet,0.75
566,gran,Gran,big,PROPN,grande,grande,ADJ,wordnet,0.75
661,arrivato,arrivare,arrived,VERB,llegó,llegar,VERB,wordnet,0.75
690,caffè,caffè,coffee,NOUN,café,café,NOUN,levenshtein,0.75
747,bagno,bagno,bath,NOUN,baño,baño,NOUN,levenshtein,0.75
768,sole,sole,sun,NOUN,sol,sol,NOUN,levenshtein,0.75
804,stupido,stupido,stupid,ADJ,estúpido,estúpido,ADJ,levenshtein,0.75
873,mostro,mostro,monster,NOUN,monstruo,monstruo,NOUN,levenshtein,0.75
913,compagnia,compagnia,company,NOUN,compañía,compañía,NOUN,levenshtein,0.75
920,esercito,esercito,army,NOUN,ejército,ejército,NOUN,levenshtein,0.75
966,rispetto,rispetto,respect,ADV,respeto,respeto,NOUN,levenshtein,0.75
1042,libertà,libertà,freedom,NOUN,libertad,libertad,NOUN,levenshtein,0.75
1066,pubblico,pubblico,public,ADJ,público,público,ADJ,levenshtein,0.75
1167,occasione,occasione,occasion,NOUN,ocasión,ocasión,NOUN,levenshtein,0.75
1238,francese,francese,French,ADJ,francés,francés,ADJ,levenshtein,0.75
1273,lato,lato,side,NOUN,lado,lado,NOUN,levenshtein,0.75
1301,sergente,sergenta,sergeant,PROPN,sargento,sargento,NOUN,levenshtein,0.75
1303,governo,governo,government,NOUN,gobierno,gobierno,PROPN,levenshtein,0.75
1377,stazione,stazione,station,NOUN,estación,estación,NOUN,levenshtein,0.75
1412,amor,amor,love,NOUN,amar,amar,VERB,levenshtein,0.75
1495,albergo,albergo,inn,NOUN,posada,posada,NOUN,wordnet,0.75
1613,ridicolo,ridicolo,ridiculous,NOUN,ridículo,ridículo,ADJ,levenshtein,0.75
1675,accettare,accettare,accept,VERB,aceptar,aceptar,VERB,levenshtein,0.75
1679,tira,tirare,pull,VERB,jalar,jalar,VERB,wordnet,0.75
1733,stelle,stella,stars,NOUN,estrellas,estrella,NOUN,wordnet,0.75
1755,pane,pane,bread,NOUN,pan,pan,NOUN,levenshtein,0.75
1785,atto,atto,act,NOUN,acto,acto,NOUN,levenshtein,0.75
1808,sali,sale,salts,VERB,sales,sal,NOUN,wordnet,0.75
1877,progetto,progetto,project,NOUN,proyecto,proyecto,NOUN,levenshtein,0.75
1926,pressione,pressione,pressure,NOUN,presión,presión,NOUN,levenshtein,0.75
2005,politica,politico,politics,ADJ,política,política,NOUN,levenshtein,0.75
2163,articolo,articolo,item,NOUN,artículo,artículo,NOUN,levenshtein,0.75
2206,analisi,analisi,analyses,NOUN,análisis,análisis,NOUN,levenshtein,0.75
2332,potenza,potenza,power,NOUN,fuerza,fuerza,NOUN,wordnet,0.75
2404,galassia,galassia,galaxy,NOUN,galaxia,galaxia,PROPN,levenshtein,0.75
2443,vacanza,vacanza,vacation,NOUN,vacaciones,vacación,NOUN,wordnet,0.75
2517,reazione,reazione,reaction,NOUN,reacción,reacción,NOUN,levenshtein,0.75
2521,pratica,pratica,practice,NOUN,práctica,práctico,ADJ,levenshtein,0.75
2545,riposare,riposare,rest,VERB,descansar,descansar,VERB,wordnet,0.75
2557,senatore,senatore,senator,NOUN,senador,senador,NOUN,levenshtein,0.75
2575,invitato,invitare,invited,VERB,invitado,invitado,ADJ,levenshtein,0.75
2578,cresciuto,crescere,grown up,VERB,creciendo,crecer,VERB,wordnet,0.75
2629,pugno,pugno,fist,NOUN,puño,puño,NOUN,levenshtein,0.75
2720,prenderò,prendare,I will take,VERB,tomaré,tomar,VERB,wordnet,0.75
2786,spettri,spettro,ghosts,NOUN,fantasmas,fantasma,NOUN,wordnet,0.75
2802,filo,filo,row,NOUN,fila,fila,NOUN,levenshtein,0.75
2857,disastro,disastro,disaster,NOUN,desastre,desastre,NOUN,levenshtein,0.75
2918,regola,regolare,rule,VERB,regla,reglar,VERB,wordnet,0.75
2978,orso,orso,bear,NOUN,oso,oso,NOUN,levenshtein,0.75
3053,collega,collegare,colleague,VERB,colega,colega,NOUN,levenshtein,0.75
3097,superato,superare,surpassed,VERB,superado,superado,ADJ,levenshtein,0.75
3126,infelice,infelice,unhappy,ADJ,infeliz,infeliz,ADJ,levenshtein,0.75
3276,este,esto,east,NOUN,este,este,DET,levenshtein,0.75
3280,coso,coso,thing,ADJ,cosa,cosa,NOUN,levenshtein,0.75
3355,leggenda,leggenda,legend,NOUN,leyenda,leyenda,NOUN,levenshtein,0.75
3393,personalità,personalità,personality,NOUN,personalidad,personalidad,NOUN,levenshtein,0.75
3552,monaco,monaco,monk,NOUN,monje,monje,PROPN,wordnet,0.75
3579,mila,mila,thousands,NUM,miles,mil,NUM,wordnet,0.75
3591,coda,coda,tail,NOUN,cola,cola,NOUN,levenshtein,0.75
3774,lancia,lanciare,spear,VERB,lanza,lanzar,VERB,wordnet,0.75
3827,chitarra,chitarra,guitar,NOUN,guitarra,guitarra,PROPN,levenshtein,0.75
3892,cintura,cintura,belt,NOUN,cinturón,cinturón,NOUN,levenshtein,0.75
4138,brindisi,Brindisi,toasts,PROPN,brindis,brindis,PROPN,levenshtein,0.75
4181,accendere,accendere,turn on,VERB,encender,encender,VERB,levenshtein,0.75
4360,occupati,occupato,busy,VERB,ocupado,ocupado,ADJ,levenshtein,0.75
4445,daranno,dara,they will give,VERB,darán,dar,VERB,wordnet,0.75
4595,barbiere,barbiere,barber,NOUN,barbero,barbero,NOUN,wordnet,0.75
4632,caporale,caporale,corporal,ADJ,corporal,corporal,ADJ,levenshtein,0.75
4678,batteria,batteria,drums,NOUN,batería,batería,NOUN,levenshtein,0.75
4681,aumento,aumento,increase,NOUN,aumentar,aumentar,VERB,levenshtein,0.75
4816,trasformato,trasformare,transformed,VERB,transformado,transformado,ADJ,levenshtein,0.75
1365,preoccupare,preoccupare,worry,VERB,preocuparse,preocupar él,VERB,levenshtein,0.7272727272727273
1486,ristorante,ristorante,restaurant,NOUN,restaurante,restaurante,NOUN,levenshtein,0.7272727272727273
1771,università,università,university,NOUN,universidad,universidad,PROPN,levenshtein,0.7272727272727273
2121,governatore,governatore,governor,NOUN,gobernador,gobernador,NOUN,levenshtein,0.7272727272727273
2131,inghilterra,inghilterra,England,PROPN,inglaterra,inglaterra,PROPN,levenshtein,0.7272727272727273
2897,eccezionale,eccezionale,exceptional,ADJ,excepcional,excepcional,ADJ,levenshtein,0.7272727272727273
3197,trasmissione,trasmissione,transmission,NOUN,transmisión,transmisión,NOUN,levenshtein,0.7272727272727273
3241,organizzato,organizzare,organized,VERB,organizado,organizado,ADJ,wordnet,0.7272727272727273
4096,distruzione,distruzione,destruction,NOUN,destrucción,destrucción,NOUN,levenshtein,0.7272727272727273
4403,elicottero,elicottero,helicopter,NOUN,helicóptero,helicóptero,NOUN,levenshtein,0.7272727272727273
4817,trasferito,trasferire,transferred,VERB,transferido,transferido,ADJ,levenshtein,0.7272727272727273
131,credo,credere,I believe,VERB,creo,creer,VERB,wordnet,0.7142857142857143
227,nostro,nostro,our,DET,nuestro,nuestro,DET,levenshtein,0.7142857142857143
244,accordo,accordo,agreement,NOUN,acuerdo,acuerdo,NOUN,levenshtein,0.7142857142857143
332,secondo,secondo,second,ADJ,segundo,segundo,ADJ,levenshtein,0.7142857142857143
353,primo,primo,first,ADJ,primero,primero,ADJ,levenshtein,0.7142857142857143
366,dottore,dottore,doctor,NOUN,doctor,doctor,NOUN,levenshtein,0.7142857142857143
376,diavolo,diavolo,devil,NOUN,demonio,demonio,NOUN,wordnet,0.7142857142857143
380,polizia,polizia,police,NOUN,policía,policía,NOUN,levenshtein,0.7142857142857143
477,quattro,quattro,four,NUM,cuatro,cuatro,NUM,levenshtein,0.7142857142857143
551,scuola,scuola,school,NOUN,escuela,escuela,NOUN,levenshtein,0.7142857142857143
559,pare,parere,it seems,VERB,parece,parecer,VERB,wordnet,0.7142857142857143
641,onore,onore,honor,NOUN,honor,honor,NOUN,wordnet,0.7142857142857143
706,inglese,inglese,English,ADJ,inglés,inglés,NOUN,levenshtein,0.7142857142857143
809,prigione,prigione,prison,NOUN,prisión,prisión,NOUN,levenshtein,0.7142857142857143
827,peccato,peccato,Sin,NOUN,pecado,pecadir,VERB,levenshtein,0.7142857142857143
861,mandato,mandare,mandate,VERB,mandato,mandato,NOUN,levenshtein,0.7142857142857143
917,vestito,vestire,dress,VERB,vestido,vestido,ADJ,levenshtein,0.7142857142857143
1006,missione,missione,mission,NOUN,misión,misión,NOUN,levenshtein,0.7142857142857143
1032,esempio,esempio,example,NOUN,ejemplo,ejemplo,NOUN,levenshtein,0.7142857142857143
1040,simile,simile,similar,ADJ,similar,similar,ADJ,levenshtein,0.7142857142857143
1063,nemico,nemico,enemy,NOUN,enemigo,enemigo,NOUN,levenshtein,0.7142857142857143
1069,vinto,vincere,won,VERB,ganado,ganar,VERB,wordnet,0.7142857142857143
1113,regina,reginare,queen,VERB,reina,reina,NOUN,levenshtein,0.7142857142857143
1128,scappare,scappare,escape,VERB,escapar,escapar,VERB,levenshtein,0.7142857142857143
1137,esiste,esistere,exists,VERB,existe,existir,VERB,levenshtein,0.7142857142857143
1208,cucina,cucinare,Kitchen,VERB,cocina,cocina,NOUN,levenshtein,0.7142857142857143
1277,spalle,spalla,shoulders,NOUN,espalda,espalda,NOUN,levenshtein,0.7142857142857143
1279,inutile,inutile,useless,ADJ,inútil,inútil,ADJ,levenshtein,0.7142857142857143
1287,seguito,seguire,followed,VERB,seguido,seguido,ADJ,levenshtein,0.7142857142857143
1362,calmati,calmare,calm down,VERB,cálmate,cálmate,NOUN,wordnet,0.7142857142857143
1378,difesa,difesa,defense,NOUN,defensa,defensa,NOUN,levenshtein,0.7142857142857143
1394,pelle,pelle,skin,NOUN,piel,piel,NOUN,wordnet,0.7142857142857143
1416,effetti,effetto,effects,NOUN,efectos,efecto,NOUN,levenshtein,0.7142857142857143
1482,lingua,linguare,tongue,NOUN,lengua,lengua,NOUN,levenshtein,0.7142857142857143
1484,cambio,cambio,change,NOUN,cambiar,cambiar,VERB,levenshtein,0.7142857142857143
1607,riunione,riunione,meeting,NOUN,reunión,reunión,NOUN,levenshtein,0.7142857142857143
1616,vittima,vittima,victim,NOUN,víctima,víctima,NOUN,levenshtein,0.7142857142857143
1657,allarme,allarme,alarm,NOUN,alarma,alarma,NOUN,levenshtein,0.7142857142857143
1760,aperta,aperto,open,VERB,abierto,abierto,ADJ,levenshtein,0.7142857142857143
1857,antichi,antico,ancient,ADJ,antiguo,antiguo,ADJ,levenshtein,0.7142857142857143
1977,sparo,sparo,shot,NOUN,disparo,disparo,NOUN,levenshtein,0.7142857142857143
1984,speriamo,sperare,We hope,VERB,esperamos,esperar,VERB,wordnet,0.7142857142857143
2054,passione,passione,passion,NOUN,pasión,pasión,NOUN,levenshtein,0.7142857142857143
2086,camicia,camicia,Shirt,NOUN,camisa,camisa,NOUN,levenshtein,0.7142857142857143
2111,passati,passato,past,VERB,pasado,pasado,ADJ,levenshtein,0.7142857142857143
2159,termine,termine,term,NOUN,término,término,NOUN,levenshtein,0.7142857142857143
2197,sorriso,sorriso,smile,NOUN,sonrisa,sonrisa,NOUN,levenshtein,0.7142857142857143
2226,crimine,crimine,crime,NOUN,delito,delito,NOUN,wordnet,0.7142857142857143
2286,perdita,perdita,loss,NOUN,pérdida,pérdida,NOUN,levenshtein,0.7142857142857143
2476,lacrime,lacrima,tears,NOUN,lágrimas,lágrima,NOUN,wordnet,0.7142857142857143
2544,sessuale,sessuale,sexual,ADJ,sexual,sexual,ADJ,levenshtein,0.7142857142857143
2576,indiani,indiano,Indians,ADJ,indios,indio,NOUN,wordnet,0.7142857142857143
2599,poesia,poesiare,poetry,VERB,poesía,poesía,NOUN,levenshtein,0.7142857142857143
2855,fallito,fallire,failed,VERB,fallido,fallido,ADJ,levenshtein,0.7142857142857143
2928,berlino,Berlino,Berlin,PROPN,berlina,berlina,NOUN,levenshtein,0.7142857142857143
2973,settore,settore,sector,NOUN,sector,sector,NOUN,levenshtein,0.7142857142857143
3003,stellare,stellare,stellar,ADJ,estelar,estelar,ADJ,levenshtein,0.7142857142857143
3144,mentendo,mentere,lying,NOUN,mintiendo,mentir,VERB,wordnet,0.7142857142857143
3504,origine,origine,origin,NOUN,origen,origen,NOUN,levenshtein,0.7142857142857143
3524,scorta,scorta,escort,NOUN,escolta,escolta,NOUN,levenshtein,0.7142857142857143
3546,scritta,scritto,written,VERB,escrito,escrito,ADJ,levenshtein,0.7142857142857143
3573,perdoni,perdoni,forgiveness,VERB,perdón,perdón,NOUN,levenshtein,0.7142857142857143
3714,dormo,dormere,I sleep,PROPN,duermo,dormir,VERB,wordnet,0.7142857142857143
3962,seguo,seguere,I follow,VERB,sigo,seguir,VERB,wordnet,0.7142857142857143
3969,morirai,morirai,you will die,VERB,morirás,morir,VERB,levenshtein,0.7142857142857143
4011,disegno,disegno,drawing,NOUN,dibujo,dibujo,NOUN,wordnet,0.7142857142857143
4061,martedì,martedì,Tuesday,NOUN,martes,martes,NOUN,levenshtein,0.7142857142857143
4068,eccetto,eccetto,except,ADP,excepto,excepto,ADP,levenshtein,0.7142857142857143
4108,ribelli,ribelle,rebels,ADJ,rebeldes,rebelde,NOUN,wordnet,0.7142857142857143
4197,penserò,penserò,I will think,VERB,pensaré,pensar,VERB,levenshtein,0.7142857142857143
4219,alcol,alcol,alcohol,NOUN,alcohol,alcohol,NOUN,levenshtein,0.7142857142857143
4275,allegra,allegro,cheerful,ADJ,alegre,alegre,ADJ,levenshtein,0.7142857142857143
4419,scozia,scozia,Scotland,ADJ,escocia,escocia,PROPN,levenshtein,0.7142857142857143
4450,circolo,circolo,circle,NOUN,círculo,círculo,NOUN,levenshtein,0.7142857142857143
4524,demoni,demone,demons,NOUN,demonios,demonio,NOUN,wordnet,0.7142857142857143
4553,conosca,conore,know,VERB,saber,saber,AUX,wordnet,0.7142857142857143
4561,statua,Statua,statue,PROPN,estatua,estatua,PROPN,levenshtein,0.7142857142857143
4650,perduta,perduto,lost,VERB,perdido,perdido,ADJ,levenshtein,0.7142857142857143
4725,sintomi,sintomo,symptoms,NOUN,síntomas,síntoma,NOUN,wordnet,0.7142857142857143
4875,matilde,Matilde,Matilda,PROPN,matilda,matilda,ADJ,levenshtein,0.7142857142857143
4967,ramón,ramóirn,Ramon,VERB,ramón,ramón,PROPN,levenshtein,0.7142857142857143
617,attenzione,attenzione,Attention,NOUN,atención,atención,NOUN,wordnet,0.7
1322,benvenuto,benvenuto,welcome,ADJ,bienvenido,bienvenido,ADJ,levenshtein,0.7
1326,suppongo,suppongere,I suppose,VERB,supongo,suponer,VERB,wordnet,0.7
1363,prometto,promeggere,I promise,VERB,prometo,prometer,VERB,wordnet,0.7
1398,combattere,combattere,fight,VERB,luchar,luchar,VERB,wordnet,0.7
2089,innamorata,innamorato,in love,VERB,enamorado,enamorado,ADJ,levenshtein,0.7
2194,chilometri,chilometro,kilometers,NOUN,kilómetros,kilómetro,NOUN,wordnet,0.7
2464,sopravvivere,sopravvivere,survive,VERB,sobrevivir,sobrevivir,VERB,levenshtein,0.7
2605,infermiera,infermiera,nurse,ADJ,enfermero,enfermero,NOUN,levenshtein,0.7
2619,commissione,commissione,commission,NOUN,comisión,comisión,NOUN,levenshtein,0.7
2694,imperatore,imperatore,emperor,NOUN,emperador,emperador,NOUN,levenshtein,0.7
2837,difficoltà,difficoltà,difficulty,NOUN,dificultad,dificultad,NOUN,levenshtein,0.7
3080,protezione,protezione,protection,NOUN,protección,protección,NOUN,levenshtein,0.7
3099,sopportare,sopportare,support,VERB,apoyo,apoyo,NOUN,wordnet,0.7
3139,studenti,studente,students,NOUN,estudiantes,estudiante,NOUN,wordnet,0.7
3478,prestito,prestito,loan,NOUN,préstamo,préstamo,NOUN,wordnet,0.7
3511,conosciuti,conosciuto,known,VERB,conocido,conocido,ADJ,levenshtein,0.7
3664,espressione,espressione,expression,NOUN,expresión,expresión,NOUN,levenshtein,0.7
3999,preparati,preparato,get ready,VERB,prepararse,preparar él,VERB,levenshtein,0.7
4245,cioccolato,cioccolato,chocolate,NOUN,chocolate,chocolate,NOUN,levenshtein,0.7
4386,repubblica,Repubblica,republic,NOUN,república,república,PROPN,levenshtein,0.7
4416,straniero,straniero,foreigner,ADJ,extranjero,extranjero,NOUN,levenshtein,0.7
4486,curiosità,curiosità,curiosity,NOUN,curiosidad,curiosidad,NOUN,levenshtein,0.7
4613,orgoglioso,orgoglioso,proud,ADJ,orgulloso,orgulloso,ADJ,levenshtein,0.7
4745,intervista,intervista,interview,NOUN,entrevista,entrevista,NOUN,levenshtein,0.7
4906,vulcaniani,vulcaniano,Vulcans,VERB,vulcanos,vulcano,NOUN,wordnet,0.7
4941,estranei,estraneo,strangers,ADJ,extraños,extraño,ADJ,wordnet,0.7
4943,elezioni,elezione,elections,NOUN,elecciones,elección,NOUN,wordnet,0.7
2984,circostanze,circostanza,circumstances,NOUN,circunstancias,circunstancia,NOUN,wordnet,0.6923076923076923
3613,istruzioni,istruzione,instructions,NOUN,instrucciones,instrucción,NOUN,levenshtein,0.6923076923076923
1,non,non,Not,ADV,no,no,ADV,levenshtein,0.6666666666666667
44,mio,mio,my,DET,mi,mi,DET,levenshtein,0.6666666666666667
63,so,sapere,I know,VERB,sé,saber,VERB,wordnet,0.6666666666666667
82,suo,suo,his,DET,su,su,DET,levenshtein,0.6666666666666667
84,posso,potere,I can,NOUN,puedo,poder,AUX,wordnet,0.6666666666666667
147,quanto,quanto,How much,PRON,cuánto,cuánto,PRON,levenshtein,0.6666666666666667
152,dio,Dio,God,NOUN,dios,dio,NOUN,wordnet,0.6666666666666667
187,vieni,vieni,You come,VERB,vienes,venir,VERB,levenshtein,0.6666666666666667
210,parlare,parlare,speak,VERB,hablar,hablar,VERB,levenshtein,0.6666666666666667
231,forza,forza,Force,NOUN,fuerza,fuerza,NOUN,levenshtein,0.6666666666666667
247,nome,nome,name,NOUN,nombre,nombre,NOUN,levenshtein,0.6666666666666667
260,sicuro,sicuro,Safe,ADJ,seguro,seguro,ADJ,levenshtein,0.6666666666666667
271,presto,presto,Soon,ADV,pronto,pronto,ADV,levenshtein,0.6666666666666667
355,salve,salvo,Greetings,ADJ,saludos,saludo,NOUN,wordnet,0.6666666666666667
412,veramente,veramente,Truly,ADV,realmente,realmente,ADV,levenshtein,0.6666666666666667
437,forte,forte,strong,ADJ,fuerte,fuerte,ADJ,levenshtein,0.6666666666666667
458,felice,felice,happy,ADJ,feliz,feliz,ADJ,levenshtein,0.6666666666666667
481,eri,eri,you were,VERB,eras,era,NOUN,wordnet,0.6666666666666667
496,settimana,settimana,week,NOUN,semana,semana,NOUN,levenshtein,0.6666666666666667
500,conto,conto,I count,NOUN,cuento,cuento,PROPN,levenshtein,0.6666666666666667
571,corpo,corpo,body,NOUN,cuerpo,cuerpo,NOUN,levenshtein,0.6666666666666667
611,facile,facile,easy,ADJ,fácil,fácil,ADJ,levenshtein,0.6666666666666667
625,soltanto,soltanto,only,ADV,solo,solo,ADV,wordnet,0.6666666666666667
668,chiaro,chiaro,clear,ADJ,claro,claro,ADJ,levenshtein,0.6666666666666667
673,ordine,ordine,order,NOUN,orden,orden,NOUN,levenshtein,0.6666666666666667
754,pezzo,pezzo,piece,NOUN,pedazo,pedazo,NOUN,levenshtein,0.6666666666666667
760,porto,porto,port,NOUN,puerto,puerto,NOUN,levenshtein,0.6666666666666667
820,circa,circa,about,ADV,acerca de,acerca,ADV,wordnet,0.6666666666666667
864,libero,libero,free,ADJ,gratis,gratis,PROPN,wordnet,0.6666666666666667
912,denaro,denaro,money,NOUN,dinero,dinero,NOUN,levenshtein,0.6666666666666667
918,ottimo,ottimo,Optimal,ADJ,óptimo,óptimo,ADJ,levenshtein,0.6666666666666667
965,risposta,risposta,answer,NOUN,respuesta,respuesta,NOUN,levenshtein,0.6666666666666667
970,incontro,incontro,encounter,NOUN,encontrar,encontrar,VERB,levenshtein,0.6666666666666667
979,salute,salute,Health,NOUN,salud,salud,NOUN,levenshtein,0.6666666666666667
999,gruppo,Gruppo,group,PROPN,grupo,grupo,NOUN,levenshtein,0.6666666666666667
1026,prove,prova,evidence,VERB,evidencia,evidenciar,VERB,wordnet,0.6666666666666667
1035,mille,mille,thousand,NUM,mil,mil,NUM,wordnet,0.6666666666666667
1077,assassino,assassino,murderer,NOUN,asesino,asesino,NOUN,levenshtein,0.6666666666666667
1079,promesso,promettere,promised,VERB,prometido,prometido,ADJ,levenshtein,0.6666666666666667
1095,tranquillo,tranquillo,Calm,ADJ,calma,calma,NOUN,wordnet,0.6666666666666667
1115,sud,sud,south,NOUN,sur,sur,NOUN,levenshtein,0.6666666666666667
