rango,parola,frequenza,lemma,inglese,it_reverse
1253,posti,419,porre,places,luoghi
1254,vivi,418,vivo,you live,tu vivi
1255,parliamo,418,parlare,let&#39;s talk,parliamo
1256,adoro,418,adorare,I adore,adoro
1257,vederlo,417,vedere lo,see him,Vederlo
1258,memoria,417,memoria,memory,memoria
1259,farsi,417,fare si,do,Fare
1260,ridere,416,ridere,LAUGH,RIDERE
1261,intero,416,intero,entire,intero
1262,vecchi,415,vecchio,old,vecchio
1263,professore,415,professore,professor,Professore
1264,avrò,415,avere,I will have,avro
1265,fc,413,fc,fc,fc
1266,buone,413,buono,good,Bene
1267,figliolo,412,figliolo,son,figlio
1268,cattivo,412,cattivo,bad,Cattivo
1269,vorrebbe,411,volere,he would,vorrebbe
1270,soldato,411,soldato,soldier,soldato
1271,scherzando,411,scherzare,joking,scherzando
1272,rimanere,411,rimanere,stay,rimanere
1273,lato,411,lato,side,lato
1274,birra,411,birra,beer,birra
1275,appartamento,411,appartamento,apartment,appartamento
1276,blu,410,blu,blue,blu
1277,spalle,409,spalla,shoulders,le spalle
1278,meraviglioso,409,meraviglioso,marvelous,meravigliosa
1279,inutile,409,inutile,useless,inutile
1280,equipaggio,409,equipaggio,crew,equipaggio
1281,comprare,409,comprare,buy,acquistare
1282,vederla,408,vedere la,see her,vederla
1283,rotto,408,rompere,broken,rotto
1284,giornale,408,giornale,newspaper,giornale
1285,ballare,408,ballare,dance,danza
1286,anna,408,anna,anna,Anna
1287,seguito,407,seguire,following,seguente
1288,nonna,407,nonno,Grandmother,Nonna
1289,cani,407,cane,dogs,cani
1290,nove,406,nove,nine,nove
1291,andrò,406,anard,I will go,andrò
1292,ale,406,ale,ale,ale
1293,riguardo,405,riguardo,regard,considerare
1294,puô,405,puô,can,Potere
1295,controllare,405,controllare,check,controllo
1296,classe,405,classe,class,classe
1297,tavolo,404,tavolo,table,tavolo
1298,nord,404,nord,north,nord
1299,latte,404,latta,milk,latte
1300,corso,404,correre,course,corso
1301,sergente,403,sergenta,sergeant,sergente
1302,perciò,403,perciò,therefore,Perciò
1303,governo,403,governo,government,governo
1304,alcun,403,alcuno,any,Qualunque
1305,venuti,402,venere,came,venni
1306,segnale,402,segnale,signal,segnale
1307,danno,402,dare,harm,danno
1308,aiuti,402,aiuto,help,aiuto
1309,piú,401,piú,more,Di più
1310,scommetto,400,scommere,I bet,scommetto
1311,reale,400,reale,real,vero
1312,eddie,400,eddie,eddie,vortice
1313,incontrato,399,incontrare,encountered,incontrato
1314,banca,399,Banca,bank,banca
1315,uscito,398,uscire,released,rilasciato
1316,salvare,398,salvare,to save,salvare
1317,mangia,398,mangiare,eats,mangia
1318,fiori,398,fiore,flowers,fiori
1319,torniamo,397,tornare,we return,torniamo
1320,finestra,397,finestra,window,finestra
1321,diciamo,397,dire,let&#39;s say,diciamo
1322,benvenuto,397,benvenuto,welcome,Benvenuto
1323,ufficiale,396,ufficiale,official,ufficiale
1324,borsa,395,borsa,bag,borsa
1325,arrivata,395,arrivare,arrived,arrivato
1326,suppongo,394,suppongere,I presume,presumo
1327,battaglia,394,battaglia,battle,battaglia
1328,rende,392,rendere,makes,fa
1329,poliziotto,392,poliziotto,police officer,poliziotto
1330,pericoloso,392,pericoloso,dangerous,pericoloso
1331,fa',392,fare,does&#39;,fa&#39;
1332,cerchi,392,cercare,circles,cerchi
1333,villaggio,391,villaggio,village,villaggio
1334,ovviamente,391,ovviamente,Obviously,Ovviamente
1335,fede,391,fede,wedding ring,fede
1336,comincia,391,cominciare,it starts,Inizia
1337,ch,391,ch,ch,cap
1338,decisione,389,decisione,decision,decisione
1339,accanto,388,accanto,next to,accanto a
1340,principessa,387,principesso,princess,principessa
1341,opera,387,opera,Opera,musica lirica
1342,mike,387,Mike,mike,Mike
1343,dovere,387,dovere,duty,dovere
1344,avremmo,387,avere,we would have,noi avremmo
1345,averlo,387,avere lo,have it,averlo
1346,stupida,386,stupido,stupid,stupido
1347,sparato,386,sparare,shot,sparo
1348,sicuramente,386,sicuramente,Surely,Certamente
1349,giovani,386,giovane,young,giovane
1350,bar,386,bar,Cafe,bar
1351,usa,385,usare,USA,Stati Uniti d&#39;America
1352,nato,385,nascere,born,nato
1353,gioia,385,gioia,joy,gioia
1354,padrone,384,padrone,master,maestro
1355,chiamata,384,chiamare,call,chiamata
1356,tanta,383,tanto,a lot,molto
1357,scoprire,383,scoprire,discover,scoprire
1358,libera,383,libero,free,gratuito
1359,data,383,dare,date,data
1360,animali,383,animale,animals,animali
1361,gii,382,gii,yes,SÌ
1362,calmati,382,calmare,take it easy,calmati
1363,prometto,381,promeggere,I promise,prometto
1364,herriot,381,Herriot,herriot,herriot
1365,preoccupare,380,preoccupare,worry,preoccupazione
1366,tè,379,tè,you,Voi
1367,rosa,379,rosa,rose,rosa
1368,riesce,379,riuscire,succeeds,riesce
1369,ricerca,379,ricercare,research,ricerca
1370,iniziare,379,iniziare,start,inizio
1371,dovrà,378,dovere,will have to,dovrà
1372,chiedi,378,chiedere,ask,chiedere
1373,soio,377,soio,soy,soia
1374,paul,377,Paul,paul,Paolo
1375,metri,377,metro,meters,metri
1376,dovremo,377,dovere,we will have to,dovremo farlo
1377,stazione,376,stazione,station,stazione
1378,difesa,376,difesa,defence,difesa
1379,aprire,376,aprire,open,aprire
1380,alzati,376,alzare,get up,alzarsi
1381,andati,375,andare,gone,andato
1382,colazione,374,colazione,breakfast,colazione
1383,teatro,373,teatro,theater,Teatro
1384,storie,373,storia,stories,storie
1385,iniziato,373,iniziare,started,iniziato
1386,barca,373,barca,boat,barca
1387,società,372,società,society,società
1388,lupo,372,lupo,wolf,lupo
1389,lezione,372,lezione,lesson,lezione
1390,fece,372,fare,he did,egli fece
1391,uniti,371,Uniti,united,unito
1392,preferisco,371,preferire,I prefer,preferisco
1393,vento,370,vento,wind,vento
1394,pelle,370,pelle,skin,pelle
1395,parlarti,370,parlare ti,talk to you,parlarti
1396,intera,370,intero,whole,Totale
1397,dovrai,370,dovere,you will have to,tu dovrai
1398,combattere,370,combattere,fight,combattimento
1399,bob,370,bob,bob,bob
1400,gloria,369,gloria,glory,gloria
1401,dovrebbero,369,dovere,they should,dovrebbero
1402,macchine,368,macchina,cars,automobili
1403,anzi,368,anzi,On the contrary,Anzi
1404,ultimi,367,ultimo,last,scorso
1405,sparare,367,sparare,shoot,sparare
1406,metto,367,mettere,I put,metto
1407,star,366,starre,star,stella
1408,dati,366,dato,data,dati
1409,darmi,366,dare mi,give me,dammi
1410,dawson,365,dawson,dawson,Dawson
1411,contatto,365,contatto,contact,contatto
1412,amor,365,amor,love,Amore
1413,walter,364,Walter,walter,walter
1414,regole,364,regola,rules,regole
1415,mary,364,Mary,mary,Maria
1416,effetti,364,effetto,effects,effetti
1417,tony,363,tonyo,tony,tonico
1418,sentite,363,sentire,listen,Ascoltare
1419,soprattutto,362,soprattutto,above all,soprattutto
1420,saltare,362,saltare,jump,salto
1421,gliel',362,gliel,give it to him,daglielo
1422,avrebbero,362,avere,they would have,avrebbero
1423,comprato,360,comprare,bought,comprato
1424,bellezza,360,bellezza,beauty,bellezza
1425,and,360,and,and,E
1426,usato,359,usare,used,usato
1427,ovunque,359,ovunque,everywhere,ovunque
1428,notizia,359,notizia,news,notizia
1429,compleanno,359,compleanno,birthday,compleanno
1430,buio,359,buio,dark,buio
1431,troia,358,Troia,slut,troia
1432,codice,358,codice,code,codice
1433,sarebbero,357,essere,they would be,Vorrebbero essere
1434,fermati,357,fermare,stop,fermare
1435,farei,357,fare,I would do,farei
1436,vincere,356,vincere,WIN,VINCITA
1437,lavorato,356,lavorare,worked,lavorato
1438,compagno,356,compagno,company,azienda
1439,richard,355,Richard,richard,Richard
1440,processo,355,processo,process,processi
1441,lasciate,355,lasciare,leave,Partire
1442,stamattina,354,stamattina,this morning,questa mattina
1443,puo',354,puo,can&#39;,Potere&#39;
1444,contrario,354,contrario,opposite,opposto
1445,terzo,353,terzo,third,terzo
1446,presente,353,presente,present,presente
1447,oddio,353,oddio,hate,odio
1448,effetto,353,effetto,effect,effetto
1449,colpevole,353,colpevole,guilty,colpevole
1450,andremo,353,andere,we&#39;ll go,andremo
1451,azione,352,azione,action,azione
1452,alta,352,alto,high,alto
1453,suono,351,suono,sound,suono
1454,stanco,351,stanco,tired,Stanco
1455,preoccupi,351,preoccupiri,worry,preoccupazione
1456,persino,351,persino,even,Anche
1457,sposa,350,sposare,wife,moglie
1458,spada,350,spada,spade,vanga
1459,pagato,350,pagare,paid,pagato
1460,muoviti,350,muovire,move,mossa
1461,sceriffo,349,sceriffo,sheriff,sceriffo
1462,natura,349,natura,nature,natura
1463,isola,349,isola,island,isola
1464,chiamano,349,chiamare,they call,chiamano
1465,amato,349,amare,beloved,amato
1466,vaffanculo,348,vaffanculo,fuck you,vaffanculo
1467,mette,348,mettere,puts,mette
1468,matto,348,matto,crazy,pazzo
1469,er,348,er,er,ehm
1470,dovrò,348,dovrò,I will have to,dovrò
1471,darti,348,dare ti,give you,darti
1472,londra,347,Londra,London,Londra
1473,cominciare,347,cominciare,start,inizio
1474,attenti,347,attento,be careful,stai attento
1475,stavamo,346,stare,we were,noi eravamo
1476,salvato,346,salvare,saved,salvato
1477,riesci,346,riesci,are able,sono in grado
1478,pò,346,pò,bit,morso
1479,lavori,346,lavoro,jobs,lavori
1480,farle,346,fare lo,do them,fateli
1481,ride,345,ridere,laughs,ride
1482,lingua,345,linguare,tongue,lingua
1483,contenta,345,contento,happy,Contento
1484,cambio,345,cambio,exchange,scambio
1485,biglietto,345,biglietto,ticket,biglietto
1486,ristorante,344,ristorante,restaurant,ristorante
1487,pietra,344,pietra,stone,calcolo
1488,paga,344,pagare,pay,paga
1489,nascosto,344,nascondere,hidden,nascosto
1490,jake,344,Jake,jake,jake
1491,innamorato,344,innamorare,in love,innamorato
1492,hotel,344,hotel,hotel,Hotel
1493,dubbio,344,dubbio,doubt,dubbio
1494,danny,344,Danny,danny,danny
1495,albergo,344,albergo,inn,Locanda
1496,potesse,343,potere,could,Potevo
1497,felici,343,felice,happy,Contento
1498,farla,343,fare lo,do it,fallo
1499,emergenza,343,emergenza,emergency,emergenza
1500,americano,343,americano,American,americano
1501,palle,342,palla,balls,palle
1502,nuove,342,nuovo,new,nuovo
1503,infatti,342,infatti,Indeed,Infatti
1504,scherzo,341,scherzare,joke,scherzo
1505,pesce,341,pesce,fish,pescare
1506,angelina,341,Angelina,angelina,Angelina
1507,poteri,340,potere,powers,poteri
1508,livello,340,livello,level,livello
1509,domattina,340,domattina,tomorrow morning,domattina
1510,viso,339,viso,face,viso
1511,trovata,339,trovare,found,trovato
1512,scopo,339,scopo,scope,scopo
1513,quegli,339,quello,those,quelli
1514,cominciato,339,cominciare,started,iniziato
1515,aiutami,339,aiutami,help me,aiutami
1516,provi,338,provare,try,Tentativo
1517,piccoli,338,piccolo,little ones,piccoli
1518,ispettore,338,ispettore,inspector,ispettore
1519,intelligente,338,intelligente,intelligent,intelligente
1520,esci,338,escere,you go out,esci
1521,tuvok,337,Tuvok,tuvok,tuvok
1522,seduto,337,sedere,sitting,seduta
1523,nuovi,337,nuovo,new,nuovo
1524,desiderio,337,desiderio,wish,desiderio
1525,comune,337,comune,common,comune
1526,carriera,337,carriera,career,carriera
1527,stronzate,336,stronzata,bullshit,cazzate
1528,grave,336,grave,serious,serio
1529,collo,336,collo,neck,collo
1530,bellissimo,336,bello,Beautiful,Bellissimo
1531,stavi,335,stavi,you were,tu eri
1532,sembrano,335,sembrare,they seem,sembrano
1533,frankenstein,335,Frankenstein,frankenstein,Frankenstein
1534,fortunato,335,fortunato,lucky,fortunato
1535,faranno,335,fare,they will,lo faranno
1536,bè,335,bè,well,BENE
1537,ascolti,335,ascolto,you listen,ascolti
1538,visti,334,vedere,seen,visto
1539,robert,334,robert,robert,Roberto
1540,massimo,334,massimo,maximum,massimo
1541,fiducia,333,fiducia,trust,Fiducia
1542,riguarda,332,riguardare,regard,considerare
1543,maledizione,332,maledizione,curse,maledizione
1544,lettere,332,lettera,letters,lettere
1545,correre,332,correre,run,correre
1546,urla,331,urla,yell out,urla
1547,stesse,331,stesso,themselves,loro stessi
1548,prezzo,331,prezzo,price,prezzo
1549,pazza,331,pazzo,crazy,pazzo
1550,guida,331,guida,guide,guida
1551,semplicemente,330,semplicemente,simply,semplicemente
1552,piaciuto,330,piacere,liked,è piaciuto
1553,egli,330,egli,they,Essi
1554,peter,329,peter,peter,Peter
1555,sapevi,328,sapevi,you knew,lo sapevi
1556,ottima,328,ottimo,Great,Grande
1557,innocente,328,innocente,innocent,innocente
1558,braccia,328,braccio,arm,braccio
1559,strana,327,strano,strange,strano
1560,idee,327,idea,ideas,idee
1561,costa,327,costare,it costs,Costa
1562,certe,327,certo,certain,certo
1563,ricco,326,ricco,rich,ricco
1564,doc,326,doc,doc,doc
1565,dirle,326,dire le,tell her,Dillo a lei
1566,immediatamente,325,immediatamente,immediately,subito
1567,eroe,325,eroe,hero,eroe
1568,ringrazio,324,ringraziare,I thank,Ringrazio
1569,partito,324,partire,match,incontro
1570,mal,324,male,bad,Cattivo
1571,madame,324,madama,madame,signora
1572,dovevi,324,dovovere,you had to,Dovevi
1573,purtroppo,323,purtroppo,Unfortunately,Purtroppo
1574,portata,323,portata,scope,scopo
1575,cappello,322,cappello,hat,cappello
1576,arte,322,arte,art,arte
1577,suona,321,suonare,it sounds,sembra
1578,prendete,321,prendere,take,Prendere
1579,dipende,321,dipendere,Depends,Dipende
1580,vedete,320,vedere,you see,vedi
1581,utile,320,utile,useful,utile
1582,rispondere,319,rispondere,answer,risposta
1583,resti,319,resto,remains,resti
1584,phoebe,319,phoebe,phoebe,Febe
1585,ognuno,319,ognuno,each one,ognuno
1586,giudice,319,giudice,judge,giudice
1587,scegliere,318,scegliere,choose,scegliere
1588,mangiato,318,mangiare,ate,mangiò
1589,darò,318,dare,I will give,darò
1590,tommy,317,tommy,tommy,tommy
1591,fucile,317,fucile,rifle,fucile
1592,buoni,317,buono,good,Bene
1593,bianca,317,bianco,white,bianco
1594,malato,316,malare,sick,malato
1595,aiutarmi,316,aiutare mi,help me,aiutami
1596,victor,315,victor,victor,vincitore
1597,relazione,315,relazione,relation,relazione
1598,leggi,315,legge,laws,legislazione
1599,averla,315,avere la,have it,averlo
1600,uso,314,uso,use,utilizzo
1601,pensiero,314,pensiero,thought,Pensiero
1602,messa,314,mettere,mass,massa
1603,documenti,314,documento,documents,documenti
1604,chiede,314,chiedere,he asks,lui chiede
1605,bottiglia,314,bottiglia,bottle,bottiglia
1606,zia,313,zia,aunt,zia
1607,riunione,313,riunione,meeting,incontro
1608,orribile,313,orribile,horrible,orribile
1609,nomi,313,nome,names,nomi
1610,muro,313,muro,wall,parete
1611,miglior,313,migliore,best,migliore
1612,condizioni,313,condizione,conditions,condizioni
1613,ridicolo,312,ridicolo,ridiculous,ridicolo
1614,qualcun,312,qualcuno,someone,qualcuno
1615,pensate,312,pensare,think,pensare
1616,vittima,311,vittima,victim,vittima
1617,tenga,311,tenere,hold on,aspettare
1618,santa,311,santa,holy,santo
1619,presenza,311,presenza,presence,presenza
1620,o',311,o,or&#39;,O&#39;
1621,eppure,311,eppure,nevertheless,tuttavia
1622,animale,311,animale,animal,animale
1623,aiutarla,311,aiutare lo,help her,aiutala
1624,nera,310,nero,Black,Nero
1625,dl,310,dl,dl,dl
1626,diventa,310,diventare,becomes,diventa
1627,corsa,310,correre,race,gara
1628,capace,310,capace,to be able,essere in grado
1629,flotta,309,flotta,fleet,flotta
1630,accaduto,309,accadere,happened,accaduto
1631,sposata,308,sposare,married,sposato
1632,sentimenti,308,sentimento,feelings,sentimenti
1633,sensazione,308,sensazione,sensation,sensazione
1634,corri,308,corrare,run,correre
1635,congratulazioni,308,congratulazione,Congratulations,Congratulazioni
1636,abbiano,308,avere,have,Avere
1637,vicini,307,vicino,neighbors,vicinato
1638,sedia,306,sedia,chair,sedia
1639,ferito,306,ferire,wound,ferita
1640,distrutto,306,distruggere,destroyed,distrutto
1641,club,306,club,club,club
1642,rischio,305,rischio,risk,rischio
1643,pietà,305,pietà,compassion,compassione
1644,periodo,305,periodo,period,periodo
1645,coltello,305,coltello,knife,coltello
1646,unità,304,unità,unit,unità
1647,tornata,304,tornare,returned,restituito
1648,smettere,304,smettere,quit,esentato
1649,sguardo,304,sguardo,gaze,sguardo
1650,cal,304,cal,cal,cal
1651,ubriaco,303,ubriaco,drunk,ubriaco
1652,domenica,303,domenica,Sunday,Domenica
1653,dappertutto,303,dappertutto,everywhere,ovunque
1654,attore,303,attore,actor,attore
1655,arrivano,303,arrivare,they arrive,arrivano
1656,anello,303,anello,ring,squillo
1657,allarme,303,allarme,alarm,allarme
1658,povera,302,povero,poor,povero
1659,guardami,302,guardamo,watch me,Guardami
1660,cavolo,302,cavolo,cabbage,cavolo
1661,vincenzo,301,vincenzo,Vincent,Vincenzo
1662,umana,301,umano,Human,Umano
1663,test,301,test,test,test
1664,insegnato,301,insegnare,taught,insegnato
1665,enorme,301,enorme,huge,Enorme
1666,eccola,301,eccolo,here she is,Eccola qui
1667,dimenticare,301,dimenticare,forget,dimenticare
1668,decidere,301,decidere,decide,decidere
1669,gia',300,gia,Already&#39;,Già&#39;
1670,dannazione,300,dannazione,damnation,dannazione
1671,succederà,299,succedere,it will happen,succederà
1672,sara',299,Sara,will be&#39;,sarà&#39;
1673,potessi,299,potessi,I could,potrei
1674,gatto,299,gatto,cat,gatto
1675,accettare,299,accettare,accept,accettare
1676,sistemi,298,sistema,systems,sistemi
1677,sindaco,298,sindaco,mayor,Sindaco
1678,tranne,297,tranne,except for,eccetto per
1679,tira,297,tirare,pull,tiro
1680,sbrigati,297,sbrigato,hurry up,affrettarsi
1681,saprei,297,sapreare,I would know,vorrei sapere
1682,provo,297,provare,I try,cerco
1683,perfetta,297,perfetto,perfect,perfetto
1684,manda,297,mandare,send,Inviare
1685,fila,297,fila,line,linea
1686,aiutarti,297,aiutare ti,help you,Aiutarti
1687,conta,296,contare,matters,importa
1688,andy,296,Andy,andy,andy
1689,giustizia,295,giustizia,justice,giustizia
1690,droga,295,droga,drug,farmaco
1691,serie,294,serio,series,serie
1692,perche,294,perca,Why,Perché
1693,odore,294,odore,odor,odore
1694,cliente,294,cliente,customer,cliente
1695,averti,294,avere ti,have you,hai
1696,verde,293,verde,green,verde
1697,tranquilla,293,tranquillo,Calm,Calma
1698,potrai,293,potere,you can,puoi
1699,parlarne,293,parlare ne,talk about it,Parlami di ciò
1700,metta,293,mettere,put,Mettere
1701,lassù,293,lassù,up there,lassù
1702,indirizzo,293,indirizzo,address,indirizzo
1703,guardando,293,guardare,watching,Guardando
1704,finisce,293,finire,ends,finisce
1705,faccenda,293,faccendare,affair,affare
1706,crederci,293,credere ci,believe it,credici
1707,cerchiamo,293,cercare,let&#39;s look,guardiamo
1708,attenta,293,attento,careful,attento
1709,scendere,292,scendere,DESCEND,SCENDERE
1710,rispondi,292,rispondare,Answers,Risposte
1711,pazienza,292,pazienza,patience,pazienza
1712,pacey,292,pacey,pacey,ritmo
1713,iei,292,iei,he,Lui
1714,giornali,292,giornale,newspapers,giornali
1715,denti,292,dente,teeth,denti
1716,carte,292,carta,cards,carte
1717,ascoltare,292,ascoltare,listen,Ascoltare
1718,you,291,you,you,Voi
1719,volare,291,volare,fly,volare
1720,militare,291,militare,military,militare
1721,maledetto,291,maledire,cursed,maledetto
1722,frega,291,fregare,screw,vite
1723,chiamate,291,chiamata,calls,chiamate
1724,campagna,291,campagna,countryside,campagna
1725,zitta,290,zitto,shut up,stai zitto
1726,vorresti,290,vorresti,would you,vorresti
1727,vincent,290,vincent,Vincent,Vincenzo
1728,v,290,v,v,v
1729,scorsa,290,scorso,last,scorso
1730,piede,290,piede,foot,piede
1731,chiudere,290,chiudere,close,vicino
1732,vittoria,289,vittoria,victory,vittoria
1733,stelle,289,stella,stars,stelle
1734,lana,289,lana,wool,lana
1735,importanza,289,importanza,importance,importanza
1736,entri,289,entrare,come in,Si accomodi
1737,ég,289,ég,eg,per esempio
1738,distruggere,289,distruggere,destroy,distruggere
1739,deiia,289,deiia,deiia,deiia
1740,curvatura,289,curvatura,curvature,curvatura
1741,sveglia,288,svegliare,wakes up,si sveglia
1742,palazzo,288,palazzo,building,edificio
1743,debole,288,debole,weak,Debole
1744,conoscenza,288,conoscenza,knowledge,conoscenza
1745,diversi,287,diverso,different,diverso
1746,aspettavo,286,aspettare,I was waiting,stavo aspettando
1747,voci,285,voce,voices,voci
1748,albero,285,albero,tree,albero
1749,wow,284,wow,wow,Oh
1750,presento,284,presentare,I present,io presento
1751,intende,284,intendere,he means,lui intende
1752,finale,284,finale,the final,il finale
1753,camminare,284,camminare,walk,camminare
1754,piange,283,piangere,cries,piange
1755,pane,283,pane,bread,pane
1756,opportunità,283,opportunità,opportunity,opportunità
1757,estate,283,estate,summer,estate
1758,dr,283,dr,dr,dottor
1759,arrabbiato,283,arrabbiare,angry,arrabbiato
1760,aperta,283,aperto,open,aprire
1761,tiro,282,tiro,shot,sparo
1762,stella,282,stella,star,stella
1763,roma,282,Roma,Rome,Roma
1764,andava,282,andare,it was going,stava andando
1765,aiutato,282,aiutare,helped,aiutato
1766,notato,281,notare,noticed,si accorse
1767,improvviso,280,improvviso,sudden,improvviso
1768,don,280,don,Don,Assistente
1769,corte,280,corto,court,Tribunale
1770,convinto,280,convinto,convinced,convinto
1771,università,279,università,university,Università
1772,responsabile,279,responsabile,responsible,responsabile
1773,mattino,279,mattino,morning,Mattina
1774,finta,279,finta,fake,impostore
1775,colpi,279,colpo,shots,colpi
1776,chiavi,279,chiave,keys,chiavi
1777,saremmo,278,saremmo,we would be,lo saremmo
1778,ra,278,ra,ra,RA
1779,qualcos',278,qualcos,something,qualcosa
1780,pioggia,278,pioggia,rain,piovere
1781,girare,278,girare,spin,rotazione
1782,entrato,278,entrare,entered,inserito
1783,desidera,278,desiderare,want,Volere
1784,bomba,278,Bomba,bomb,bomba
1785,atto,278,atto,act,atto
1786,ricordare,277,ricordare,remember,Ricordare
1787,pur,277,pure,even though,nonostante
1788,piaceva,277,piacere,he liked it,gli è piaciuto
1789,lavorando,277,lavorare,working,lavorando
1790,creare,277,creare,create,creare
1791,cattiva,277,cattivo,bad,Cattivo
1792,spiegare,276,spiegare,explain,spiegare
1793,sii,276,sii,Yay,Sìì
1794,intendi,276,intendare,you mean,vuoi dire
1795,francesca,276,francesca,francesca,francesca
1796,carter,276,carter,carter,carrettiere
1797,colore,275,colore,color,colore
1798,bevi,275,bevi,drink,bere
1799,talento,274,talento,talent,talento
1800,punti,274,punto,points,punti
1801,farcela,274,farcee la,do it,fallo
1802,segreti,273,segreto,secrets,segreti
1803,peso,273,peso,weight,peso
1804,perdono,273,perdere,pardon,Scusi
1805,football,273,football,football,calcio
1806,evitare,273,evitare,avoid,Evitare
1807,tornate,272,tornare,come back,ritorno
1808,sali,272,sale,salts,sali
1809,sabato,272,sabato,Saturday,Sabato
1810,naturale,272,naturale,natural,naturale
1811,helen,272,Helen,helen,Elena
1812,famoso,272,famoso,famous,famoso
1813,creato,272,creare,created,creato
1814,cento,272,cento,hundred,centinaio
1815,cadere,272,cadere,fall,autunno
1816,lasciatemi,271,Lasciatemi,leave me,Lasciami
1817,forze,271,forza,Strength,Forza
1818,ammazzo,271,ammazzare,I&#39;ll kill,Ucciderò
1819,stile,270,stile,style,stile
1820,prendiamo,270,prendere,we take,prendiamo
1821,lotta,270,lotta,struggle,lotta
1822,basso,270,basso,Bass,Basso
1823,nu,269,nu,nu,no
1824,dicevo,269,dicevo,I said,ho detto
1825,credimi,269,credimi,believe me,mi creda
1826,continui,269,continuare,continue,Continua
1827,claude,269,claude,claude,claude
1828,case,269,casa,homes,le case
1829,breve,269,breve,brief,breve
1830,sonno,268,sonno,sleep,sonno
1831,ottenere,268,ottenere,obtain,ottenere
1832,dita,268,dito,fingers,dita
1833,angolo,268,angolo,corner,angolo
1834,trucco,267,trucco,trick,trucco
1835,raggio,267,raggio,radius,raggio
1836,locale,267,locale,local,Locale
1837,chiusa,267,chiudere,closed,Chiuso
1838,bicchiere,267,bicchiere,glass,bicchiere
1839,sbaglio,266,sbaglio,I err,Sbaglio
1840,opinione,266,opinione,opinion,opinione
1841,nient',266,nient,nothing&#39;,Niente&#39;
1842,neri,266,nero,black,nero
1843,mezza,266,mezzo,half,metà
1844,los,266,los,los,los
1845,immagine,266,immagine,image,Immagine
1846,date,266,dare,at your place,al tuo posto
1847,bianchi,266,bianco,whites,bianchi
1848,secolo,265,secolo,century,secolo
1849,mrs,265,mrs,mrs,Sig.ra
1850,canta,265,cantare,sing,cantare
1851,milione,264,milione,million,milioni
1852,lee,264,Lee,lee,Lee
1853,interno,264,interno,internal,interno
1854,est,264,Est,East,Est
1855,distanza,264,distanza,distance,distanza
1856,coppia,264,coppia,couple,coppia
1857,antichi,264,antico,ancient,antico
1858,volevano,263,volere,they wanted,essi volevano
1859,torta,263,torgere,cake,torta
1860,tengo,263,tenere,I keep,tengo
1861,mantenere,263,mantenere,maintain,mantenere
1862,janeway,263,Janeway,janeway,Janeway
1863,discutere,263,discutere,discuss,discutere
1864,discorso,263,discorso,speech,discorso
1865,calmo,263,calmo,calm,calma
1866,schiena,262,schiena,back,Indietro
1867,piani,262,piano,plans,piani
1868,lord,262,Lord,lord,signore
1869,immagini,262,immagine,Images,immagini
1870,ferita,262,ferito,wound,ferita
1871,aiia,262,Aiia,aiia,aiia
1872,salire,261,salire,go out,esci
1873,rimane,261,rimanere,remains,resti
1874,ragazzino,261,ragazzino,little boy,ragazzino
1875,primi,261,primo,first,Primo
1876,vite,260,vita,lives,vite
1877,progetto,260,progetto,project,progetto
1878,piper,260,piper,piper,pifferaio
1879,inizia,260,iniziare,start,inizio
1880,furono,260,essere,they were,Li avevamo
1881,tedeschi,259,tedesco,Germans,tedeschi
1882,perfettamente,259,perfettamente,perfectly,perfettamente
1883,giacca,259,giacca,jacket,giacca
1884,esce,259,uscire,goes out,esce
1885,vuoto,258,vuoto,empty,vuoto
1886,contratto,258,contrarre,contract,contrarre
1887,preoccupato,257,preoccupato,worried,preoccupato
1888,mentito,257,mentire,lied,ha mentito
1889,clienti,257,cliente,clients,clienti
1890,americani,257,americano,Americans,Americani
1891,siate,256,siate,be,Essere
1892,nemici,256,nemico,enemies,nemici
1893,muore,256,morire,dies,muore
1894,amare,256,amare,love,Amore
1895,responsabilità,255,responsabilità,responsibility,responsabilità
1896,portate,255,portare,bring,Portare
1897,magnifico,255,magnifico,magnificent,magnifico
1898,fastidio,255,fastidio,nuisance,fastidio
1899,diverse,255,diverso,different,diverso
1900,direzione,255,direzione,direction,direzione
1901,cantare,255,cantare,sing,cantare
1902,cadavere,255,cadavere,dead body,corpo morto
1903,scorso,254,scorso,last,scorso
1904,operazione,254,operazione,operation,operazione
1905,offerta,254,offrire,offer,offerta
1906,vedremo,253,vedere,We will see,Vedremo
1907,tecnologia,253,tecnologia,technology,tecnologia
1908,porte,253,porta,doors,porte
1909,parlarle,253,parlare le,talk to her,parla con lei
1910,mossa,253,mossare,move,mossa
1911,momenti,253,momento,moments,momenti
1912,finchè,253,finché,until,Fino a
1913,cambia,253,cambiare,change,modifica
1914,bevuto,253,bere,drank,Bevuto
1915,amicizia,253,amicizia,friendship,amicizia
1916,abito,253,abitare,suit,abito
1917,van,252,van,van,furgone
1918,suonare,252,suonare,play,giocare
1919,peggiore,252,peggiore,worse,peggio
1920,incontrare,252,incontrare,encounter,incontrare
1921,incinta,252,incinto,pregnant,incinta
1922,disturbo,252,disturbo,I disturb,io disturbo
1923,tracce,251,traccia,tracks,brani
1924,strade,251,strada,streets,strade
1925,soluzione,251,soluzione,solution,soluzione
