rango,parola,frequenza,lemma,inglese,spagnolo,it_reverse
1084,vostre,500,vostro,yours,tuyo,il tuo
1085,leggere,500,leggere,light,luz,leggero
1086,spettacolo,499,spettacolo,show,espectáculo,spettacolo
1087,metà,499,metà,half,medio,metà
1088,eccolo,499,eccolo,there he is,ahi esta,Eccolo
1089,dott,499,dott,Dr,Dr,Dott
1090,seconda,498,secondo,second,segundo,secondo
1091,passa,498,passare,passes,pasa,passa
1092,dura,498,durare,tough,difícil,difficile
1093,attacco,498,attacco,attack,ataque,attacco
1094,secondi,497,secondo,seconds,segundos,secondi
1095,tranquillo,496,tranquillo,Calm,Calma,Calma
1096,avevamo,496,avere,we had,tuvimos,abbiamo avuto
1097,n,495,n,n,norte,N
1098,duro,495,duro,hard,duro,difficile
1099,spirito,494,spirito,spirit,espíritu,spirito
1100,razza,494,razza,race,carrera,gara
1101,piû,494,piû,more,más,Di più
1102,destino,494,destino,destiny,destino,destino
1103,studio,493,studio,study,estudiar,studio
1104,immagino,493,immagare,I imagine,Imagino,immagino
1105,centro,493,centro,center,centro,centro
1106,capisce,493,capire,understands,entiende,capisce
1107,aspettando,493,aspettare,waiting,espera,in attesa
1108,scusami,492,scusami,Excuse me,Disculpe,Mi scusi
1109,arrivati,492,arrivare,arrived,llegó,arrivato
1110,forma,491,forma,form,forma,modulo
1111,cervello,491,cervello,brain,cerebro,cervello
1112,saresti,489,saresti,would you be,Estarías,saresti
1113,regina,489,regina,Queen,Reina,Regina
1114,george,488,george,george,Jorge,Giorgio
1115,sud,487,sud,south,sur,Sud
1116,intendo,487,intendere,I intend,pretendo,Intendo
1117,di',487,di,Of&#39;,De&#39;,Di&#39;
1118,passi,485,passo,steps,pasos,passi
1119,spazio,484,spazio,space,espacio,spazio
1120,b,484,b,b,b,B
1121,sposato,483,sposare,married,casado,sposato
1122,luna,483,luna,moon,luna,luna
1123,gamba,482,gamba,leg,pierna,gamba
1124,esserci,482,essere ci,be there,estar allí,essere lì
1125,computer,482,computer,computer,computadora,computer
1126,chiesa,482,chiesa,church,iglesia,Chiesa
1127,speranza,481,speranza,hope,esperanza,Speranza
1128,scappare,481,scappare,escape,escapar,fuga
1129,bellissima,481,bello,Extremely beautiful,Extremadamente bello,Estremamente bella
1130,piena,480,pieno,full,lleno,pieno
1131,conosciuto,480,conoscere,known,conocido,conosciuto
1132,affare,479,affare,deal,trato,Affare
1133,tizio,476,tizio,dude,dudar,tizio
1134,senta,476,sentire,listen,escuchar,Ascoltare
1135,presa,476,prendere,Jack,Jacobo,Jack
1136,pochi,476,poco,few,pocos,pochi
1137,esiste,474,esistere,exists,existe,esiste
1138,tai,473,tai,tai,tai,tai
1139,povero,471,povero,poor,pobre,povero
1140,libri,471,libro,books,libros,libri
1141,lavora,471,lavorare,work,trabajar,lavoro
1142,informazioni,471,informazione,information,información,informazione
1143,san,470,San,san,san,san
1144,cerco,470,cercare,I look for,estoy buscando,cerco
1145,cavalli,470,cavallo,horses,caballos,cavalli
1146,ballo,470,ballo,dance,bailar,danza
1147,vive,468,vivere,lives,vidas,vite
1148,serata,468,serata,evening,noche,sera
1149,rosso,468,rosso,red,rojo,rosso
1150,migliori,468,migliore,better,mejor,Meglio
1151,brutta,467,brutto,ugly,feo,brutto
1152,stessi,466,stesso,themselves,ellos mismos,loro stessi
1153,luogo,466,luogo,place,lugar,posto
1154,david,466,David,david,David,davide
1155,fossero,465,essere,they were,Ellos eran,Li avevamo
1156,ë,465,ë,And,Y,E
1157,proposito,464,proposire,purpose,objetivo,scopo
1158,popolo,464,popolo,people,gente,persone
1159,omicidio,464,omicidio,homocide,homocidio,omicidio
1160,colpito,464,colpire,hit,golpear,colpo
1161,umani,463,umano,humans,humanos,umani
1162,johnny,462,Johnny,johnny,johnny,Johnny
1163,farebbe,462,fare,would do,haría,farebbe
1164,visita,460,visita,visit,visita,visita
1165,sam,460,Sam,sam,sam,Sam
1166,potrebbero,460,potere,they might,Podrían,potrebbero
1167,occasione,460,occasione,occasion,ocasión,occasione
1168,f,460,f,f,F,F
1169,carne,460,carne,meat,carne,carne
1170,uscita,459,uscita,exit,salida,Uscita
1171,sissignore,459,sissignora,yes sir,"sí, señor",si signore
1172,palla,459,palla,ball,pelota,palla
1173,navi,459,nave,ships,buques,navi
1174,tocca,458,toccare,touch,tocar,tocco
1175,ami,458,amare,do you love,Amas,ami
1176,belle,457,bello,beautiful,hermoso,Bellissimo
1177,arrivando,456,arrivare,arriving,llegando,in arrivo
1178,ritorno,455,ritorno,return,devolver,ritorno
1179,giusta,455,giusto,right,bien,Giusto
1180,esperienza,455,esperienza,experience,experiencia,esperienza
1181,scelto,454,scegliere,choice,elección,scelta
1182,differenza,454,differenza,difference,diferencia,differenza
1183,chiudi,454,chiudere,close,cerca,vicino
1184,carina,454,carino,nice,lindo,Carino
1185,scarpe,453,scarpa,shoes,zapatos,scarpe
1186,piangere,453,piangere,cry,llorar,gridare
1187,p,453,p,p,pag,P
1188,intenzione,453,intenzione,intention,intención,Intenzione
1189,prue,452,prua,prow,arco,prua
1190,prenda,452,prendere,take,llevar,Prendere
1191,pericolo,452,pericolo,danger,peligro,Pericolo
1192,avremo,452,avere,we&#39;ll have,tendremos,avremo
1193,aspettate,452,aspettare,wait,esperar,Aspettare
1194,torni,451,tornare,come back,regresar,ritorno
1195,stargate,451,stargare,stargate,puerta estelar,Stargate
1196,certamente,451,certamente,Certainly,Ciertamente,Certamente
1197,fratelli,450,fratello,brothers,hermanos,fratelli
1198,regalo,449,regalo,gift,regalo,regalo
1199,ferma,448,fermare,stop,detener,fermare
1200,lista,447,lista,list,lista,elenco
1201,entro,445,entro,within,dentro,entro
1202,temo,444,temere,I&#39;m afraid,Me temo que,Ho paura
1203,vedrai,443,vedere,you will see,ya verás,vedrai
1204,sogni,443,sogno,dreams,Sueños,sogni
1205,sappia,443,sappia,know,saber,Sapere
1206,molta,443,molto,a lot,mucho,molto
1207,diventato,443,diventare,become,convertirse,diventare
1208,cucina,443,cucina,Kitchen,Cocina,Cucina
1209,triste,442,triste,sad,triste,triste
1210,tale,442,tale,such,semejante,come
1211,soldati,442,soldato,soldiers,soldados,soldati
1212,lascio,442,lasciare,I leave,dejo,Io lascio
1213,chissà,442,chissà,maybe,tal vez,Forse
1214,dite,440,dire,of you,de ti,di voi
1215,fallo,439,fallo,just do it,hazlo,fallo e basta
1216,veloce,438,veloce,fast,rápido,veloce
1217,digli,438,diglio,say to Him,Dile a El,Dillo a lui
1218,certa,437,certo,certain,cierto,certo
1219,naso,436,naso,nose,nariz,naso
1220,attraverso,435,attraverso,through,a través de,Attraverso
1221,rotta,434,rotta,route,ruta,itinerario
1222,inferno,434,inferno,hell,infierno,inferno
1223,imparare,433,imparare,learn,aprender,Imparare
1224,bacio,433,bacio,kiss,beso,bacio
1225,viva,432,vivo,Viva,Viva,Viva
1226,riuscito,432,riuscire,succeeded,tuvo éxito,successo
1227,nonno,432,nonno,grampa,abuelo,nonno
1228,volo,431,volo,flight,vuelo,volo
1229,jimmy,431,Jimmy,jimmy,palanqueta,jimmy
1230,carta,430,carta,paper,papel,carta
1231,pomeriggio,429,pomeriggio,afternoon,tarde,pomeriggio
1232,aperto,428,aprire,open,abierto,aprire
1233,potrà,427,potere,will be able to,será capaz de,sarà in grado di
1234,direttore,427,direttore,director,director,direttore
1235,vorrà,426,volere,will want,querrá,vorrò
1236,schifo,425,schifo,disgust,asco,disgusto
1237,imparato,425,imparare,learned,aprendió,imparato
1238,francese,424,francese,French,Francés,francese
1239,sembri,423,sembrare,you look,tu miras,sembri
1240,età,422,età,age,edad,età
1241,son,421,son,son,hijo,figlio
1242,passaggio,421,passaggio,ride,conducir,passeggiata
1243,lunga,421,lungo,long,largo,lungo
1244,gambe,421,gamba,legs,piernas,gambe
1245,conoscere,421,conoscere,know,saber,Sapere
1246,segno,420,segno,sign,firmar,cartello
1247,negozio,420,negozio,shop,comercio,negozio
1248,fiume,420,Fiume,river,río,fiume
1249,ascoltami,420,ascoltamare,listen to me,Escúchame,ascoltami
1250,voyager,419,Voyager,voyager,viajero,viaggiatore
1251,sé,419,sé,self,ser,se stesso
1252,rubato,419,rubare,stolen,robado,rubato
1253,posti,419,posto,places,lugares,luoghi
1254,vivi,418,vivo,you live,tu vives,tu vivi
1255,parliamo,418,parlare,let&#39;s talk,hablemos,parliamo
1256,adoro,418,adorare,I adore,Yo adoro,adoro
1257,vederlo,417,vedere lo,see him,verlo,Vederlo
1258,memoria,417,memoria,memory,memoria,memoria
1259,farsi,417,fare si,do,hacer,Fare
1260,ridere,416,ridere,LAUGH,REÍR,RIDERE
1261,intero,416,intero,entire,completo,intero
1262,vecchi,415,vecchio,old,viejo,vecchio
1263,professore,415,professore,professor,profesor,Professore
1264,avrò,415,avere,I will have,tendré,avro
1265,fc,413,fc,fc,FC,fc
1266,buone,413,buono,good,bien,Bene
1267,figliolo,412,figliolo,son,hijo,figlio
1268,cattivo,412,cattivo,bad,malo,Cattivo
1269,vorrebbe,411,volere,he would,Él haría,vorrebbe
1270,soldato,411,soldato,soldier,soldado,soldato
1271,scherzando,411,scherzare,joking,bromas,scherzando
1272,rimanere,411,rimanere,stay,permanecer,rimanere
1273,lato,411,lato,side,lado,lato
1274,birra,411,birra,beer,cerveza,birra
1275,appartamento,411,appartamento,apartment,departamento,appartamento
1276,blu,410,blu,blue,azul,blu
1277,spalle,409,spalla,shoulders,espalda,le spalle
1278,meraviglioso,409,meraviglioso,marvelous,maravilloso,meravigliosa
1279,inutile,409,inutile,useless,inútil,inutile
1280,equipaggio,409,equipaggio,crew,multitud,equipaggio
1281,comprare,409,comprare,buy,comprar,acquistare
1282,vederla,408,vedere lo,see her,verla,vederla
1283,rotto,408,rompere,broken,roto,rotto
1284,giornale,408,giornale,newspaper,periódico,giornale
1285,ballare,408,ballare,dance,bailar,danza
1286,anna,408,Anna,anna,anna,Anna
1287,seguito,407,seguire,following,siguiente,seguente
1288,nonna,407,nonna|nonno,Grandmother,Abuela,Nonna
1289,cani,407,cane,dogs,perros,cani
1290,nove,406,nove,nine,nueve,nove
1291,andrò,406,andrò,I will go,voy a ir,andrò
1292,ale,406,ala,ale,cerveza inglesa,ale
1293,riguardo,405,riguardo,regard,respecto,considerare
1294,puô,405,puô,can,poder,Potere
1295,controllare,405,controllare,check,controlar,controllo
1296,classe,405,classa,class,clase,classe
1297,tavolo,404,tavolo,table,mesa,tavolo
1298,nord,404,nord,north,norte,nord
1299,latte,404,latta,milk,leche,latte
1300,corso,404,correre,course,curso,corso
1301,sergente,403,sergenta,sergeant,sargento,sergente
1302,perciò,403,perciò,therefore,por lo tanto,Perciò
1303,governo,403,governo,government,gobierno,governo
1304,alcun,403,alcuno,any,cualquier,Qualunque
1305,venuti,402,venere,came,vino,venni
1306,segnale,402,segnale,signal,señal,segnale
1307,danno,402,dare,harm,dañar,danno
1308,aiuti,402,aiuto,help,ayuda,aiuto
1309,piú,401,piú,more,más,Di più
1310,scommetto,400,scommetto,I bet,Te apuesto,scommetto
1311,reale,400,reale,real,real,vero
1312,eddie,400,eddie,eddie,eddy,vortice
1313,incontrato,399,incontrare,encountered,encontrado,incontrato
1314,banca,399,bancare,bank,banco,banca
1315,uscito,398,uscire,released,liberado,rilasciato
1316,salvare,398,salvare,to save,ahorrar,salvare
1317,mangia,398,mangiare,eats,come,mangia
1318,fiori,398,fiore,flowers,flores,fiori
1319,torniamo,397,tornare,we return,regresamos,torniamo
1320,finestra,397,finestra,window,ventana,finestra
1321,diciamo,397,dire,let&#39;s say,digamos,diciamo
1322,benvenuto,397,benvenuto,welcome,bienvenido,Benvenuto
1323,ufficiale,396,ufficiale,official,oficial,ufficiale
1324,borsa,395,borsa,bag,bolsa,borsa
1325,arrivata,395,arrivare,arrived,llegó,arrivato
1326,suppongo,394,suppongere,I presume,Supongo,presumo
1327,battaglia,394,battaglia,battle,batalla,battaglia
1328,rende,392,rendere,makes,marcas,fa
1329,poliziotto,392,poliziotto,police officer,Oficial de policía,poliziotto
1330,pericoloso,392,pericoloso,dangerous,peligroso,pericoloso
1331,fa',392,fare,does&#39;,hace&#39;,fa&#39;
1332,cerchi,392,cercare,circles,círculos,cerchi
1333,villaggio,391,villaggio,village,aldea,villaggio
1334,ovviamente,391,ovviamente,Obviously,Obviamente,Ovviamente
1335,fede,391,fede,wedding ring,anillo de bodas,fede
1336,comincia,391,cominciare,it starts,comienza,Inizia
1337,ch,391,ch,ch,ch,cap
1338,decisione,389,decisione,decision,decisión,decisione
1339,accanto,388,accanto,next to,junto a,accanto a
1340,principessa,387,principesso,princess,princesa,principessa
1341,opera,387,opera,Opera,Ópera,musica lirica
1342,mike,387,Mike,mike,Miguel,Mike
1343,dovere,387,dovere,duty,deber,dovere
1344,avremmo,387,avere,we would have,tendríamos,noi avremmo
1345,averlo,387,avere lo,have it,tenerlo,averlo
1346,stupida,386,Stupida,stupid,estúpido,stupido
1347,sparato,386,sparare,shot,disparo,sparo
1348,sicuramente,386,sicuramente,Surely,Seguramente,Certamente
1349,giovani,386,giovane,young,joven,giovane
1350,bar,386,bar,Cafe,Cafetería,bar
1351,usa,385,usare,USA,EE.UU,Stati Uniti d&#39;America
1352,nato,385,nascere,born,nacido,nato
1353,gioia,385,gioia,joy,alegría,gioia
1354,padrone,384,padrone,master,maestro,maestro
1355,chiamata,384,chiamare,call,llamar,chiamata
1356,tanta,383,tanto,a lot,mucho,molto
1357,scoprire,383,scoprire,discover,descubrir,scoprire
1358,libera,383,liberare,free,gratis,gratuito
1359,data,383,dare,date,fecha,data
1360,animali,383,animale,animals,animales,animali
1361,gii,382, ii,yes,Sí,SÌ
1362,calmati,382,calmato,take it easy,tómalo con calma,calmati
1363,prometto,381,promettere,I promise,Prometo,prometto
1364,herriot,381,Herriot,herriot,herriot,herriot
1365,preoccupare,380,preoccupare,worry,preocuparse,preoccupazione
1366,tè,379,tè,you,tú,Voi
1367,rosa,379,rosa,rose,rosa,rosa
1368,riesce,379,riuscire,succeeds,tiene éxito,riesce
1369,ricerca,379,ricerca,research,investigación,ricerca
1370,iniziare,379,iniziare,start,comenzar,inizio
1371,dovrà,378,dovere,will have to,tendrá que,dovrà
1372,chiedi,378,chiedere,ask,preguntar,chiedere
1373,soio,377,soio,soy,soja,soia
1374,paul,377,Paul,paul,Pablo,Paolo
1375,metri,377,metro,meters,metros,metri
1376,dovremo,377,dovere,we will have to,tendremos que,dovremo farlo
1377,stazione,376,stazione,station,estación,stazione
1378,difesa,376,difesa,defence,defensa,difesa
1379,aprire,376,aprire,open,abierto,aprire
1380,alzati,376,alzare,get up,levantarse,alzarsi
1381,andati,375,andare,gone,desaparecido,andato
1382,colazione,374,colazione,breakfast,desayuno,colazione
1383,teatro,373,teatro,theater,teatro,Teatro
1384,storie,373,storia,stories,cuentos,storie
1385,iniziato,373,iniziare,started,comenzó,iniziato
1386,barca,373,barca,boat,bote,barca
1387,società,372,società,society,sociedad,società
1388,lupo,372,lupo,wolf,lobo,lupo
1389,lezione,372,lezione,lesson,lección,lezione
1390,fece,372,fare,he did,Él hizo,egli fece
1391,uniti,371,Uniti,united,unido,unito
1392,preferisco,371,preferire,I prefer,yo prefiero,preferisco
1393,vento,370,vento,wind,viento,vento
1394,pelle,370,pelle,skin,piel,pelle
1395,parlarti,370,parlarti,talk to you,hablar con usted,parlarti
1396,intera,370,intero,whole,entero,Totale
1397,dovrai,370,dovrai,you will have to,tendras que,tu dovrai
1398,combattere,370,combattere,fight,luchar,combattimento
1399,bob,370,bob,bob,Beto,bob
1400,gloria,369,glorio,glory,gloria,gloria
1401,dovrebbero,369,dovere,they should,Ellos deberían,dovrebbero
1402,macchine,368,macchina,cars,carros,automobili
1403,anzi,368,anzi,On the contrary,De lo contrario,Anzi
1404,ultimi,367,ultimo,last,último,scorso
1405,sparare,367,sparare,shoot,disparar,sparare
1406,metto,367,mettere,I put,pongo,metto
1407,star,366,stare,star,estrella,stella
1408,dati,366,dato,data,datos,dati
1409,darmi,366,dare mi,give me,dame,dammi
1410,dawson,365,dawson,dawson,dawson,Dawson
1411,contatto,365,contatto,contact,contacto,contatto
1412,amor,365,amor,love,amar,Amore
1413,walter,364,walter,walter,walter,walter
1414,regole,364,regola,rules,normas,regole
1415,mary,364,Mary,mary,María,Maria
1416,effetti,364,effetto,effects,efectos,effetti
1417,tony,363,tony,tony,tony,tonico
1418,sentite,363,sentire,listen,escuchar,Ascoltare
1419,soprattutto,362,soprattutto,above all,sobre todo,soprattutto
1420,saltare,362,saltare,jump,saltar,salto
1421,gliel',362,Gliel,give it to him,dáselo a él,daglielo
1422,avrebbero,362,avere,they would have,ellos tendrían,avrebbero
1423,comprato,360,comprare,bought,compró,comprato
1424,bellezza,360,bellezza,beauty,belleza,bellezza
1425,and,360,and,and,y,E
1426,usato,359,usare,used,usado,usato
1427,ovunque,359,ovunque,everywhere,en todos lados,ovunque
1428,notizia,359,notizia,news,noticias,notizia
1429,compleanno,359,compleanno,birthday,cumpleaños,compleanno
1430,buio,359,buio,dark,oscuro,buio
1431,troia,358,Troia,slut,puta,troia
1432,codice,358,codice,code,código,codice
1433,sarebbero,357,essere,they would be,Ellos serian,Vorrebbero essere
1434,fermati,357,fermato,stop,detener,fermare
1435,farei,357,farei,I would do,yo lo haría,farei
1436,vincere,356,vincere,WIN,GANAR,VINCITA
1437,lavorato,356,lavorare,worked,trabajó,lavorato
1438,compagno,356,compagno,company,compañía,azienda
1439,richard,355,richard,richard,Ricardo,Richard
1440,processo,355,processo,process,proceso,processi
1441,lasciate,355,lasciare,leave,dejar,Partire
1442,stamattina,354,stamattina,this morning,esta mañana,questa mattina
1443,puo',354,puo,can&#39;,poder&#39;,Potere&#39;
1444,contrario,354,contrario,opposite,opuesto,opposto
1445,terzo,353,terzo,third,tercero,terzo
1446,presente,353,presente,present,presente,presente
1447,oddio,353,oddio,hate,odiar,odio
1448,effetto,353,effetto,effect,efecto,effetto
1449,colpevole,353,colpevole,guilty,culpable,colpevole
1450,andremo,353,andremo,we&#39;ll go,Iremos,andremo
1451,azione,352,azione,action,acción,azione
1452,alta,352,alto,high,alto,alto
1453,suono,351,suono,sound,sonido,suono
1454,stanco,351,stanco,tired,cansado,Stanco
1455,preoccupi,351,preoccupiri,worry,preocuparse,preoccupazione
1456,persino,351,persino,even,incluso,Anche
1457,sposa,350,sposo,wife,esposa,moglie
1458,spada,350,spada,spade,pala,vanga
1459,pagato,350,pagare,paid,pagado,pagato
1460,muoviti,350,muovire,move,mover,mossa
1461,sceriffo,349,sceriffo,sheriff,alguacil,sceriffo
1462,natura,349,natura,nature,naturaleza,natura
1463,isola,349,isola,island,isla,isola
1464,chiamano,349,chiamare,they call,ellos llaman,chiamano
1465,amato,349,amare,beloved,amado,amato
1466,vaffanculo,348,Vaffanculo,fuck you,vete a la mierda,vaffanculo
1467,mette,348,mettere,puts,pone,mette
1468,matto,348,matto,crazy,loco,pazzo
1469,er,348,er,er,ejem,ehm
1470,dovrò,348,dovrò,I will have to,tendré que,dovrò
1471,darti,348,darre ti,give you,darte,darti
1472,londra,347,Londra,London,Londres,Londra
1473,cominciare,347,cominciare,start,comenzar,inizio
1474,attenti,347,attento,be careful,ten cuidado,stai attento
1475,stavamo,346,stavamo,we were,éramos,noi eravamo
1476,salvato,346,salvare,saved,salvado,salvato
1477,riesci,346,riesci,are able,son capaces,sono in grado
1478,pò,346,pò,bit,poco,morso
1479,lavori,346,lavoro,jobs,trabajos,lavori
1480,farle,346,fare lo,do them,hazlo,fateli
1481,ride,345,ridere,laughs,risas,ride
1482,lingua,345,lingua,tongue,lengua,lingua
1483,contenta,345,contento,happy,feliz,Contento
1484,cambio,345,cambio,exchange,intercambio,scambio
1485,biglietto,345,biglietto,ticket,boleto,biglietto
1486,ristorante,344,ristorante,restaurant,restaurante,ristorante
1487,pietra,344,pietra,stone,piedra,calcolo
1488,paga,344,pagare,pay,pagar,paga
1489,nascosto,344,nascosto,hidden,oculto,nascosto
1490,jake,344,Jake,jake,jake,jake
1491,innamorato,344,innamorare,in love,enamorado,innamorato
1492,hotel,344,hotel,hotel,hotel,Hotel
1493,dubbio,344,dubbio,doubt,duda,dubbio
1494,danny,344,danny,danny,danny,danny
1495,albergo,344,albergo,inn,Posada,Locanda
1496,potesse,343,potere,could,podría,Potevo
1497,felici,343,felice,happy,feliz,Contento
1498,farla,343,fare lo,do it,hazlo,fallo
1499,emergenza,343,emergenza,emergency,emergencia,emergenza
1500,americano,343,americano,American,Americano,americano
1501,palle,342,palla,balls,pelotas,palle
1502,nuove,342,nuovo,new,nuevo,nuovo
1503,infatti,342,infatti,Indeed,En efecto,Infatti
1504,scherzo,341,scherzare,joke,broma,scherzo
1505,pesce,341,pesce,fish,pez,pescare
1506,angelina,341,angelina,angelina,angelina,Angelina
1507,poteri,340,potere,powers,potestades,poteri
1508,livello,340,livello,level,nivel,livello
1509,domattina,340,domattina,tomorrow morning,mañana por la mañana,domattina
1510,viso,339,viso,face,rostro,viso
1511,trovata,339,trovare,found,encontró,trovato
1512,scopo,339,scopo,scope,alcance,scopo
1513,quegli,339,quello,those,aquellos,quelli
1514,cominciato,339,cominciare,started,comenzó,iniziato
1515,aiutami,339,aiutamare,help me,ayúdame,aiutami
1516,provi,338,provare,try,intentar,Tentativo
1517,piccoli,338,piccolo,little ones,chiquitos,piccoli
1518,ispettore,338,ispettore,inspector,inspector,ispettore
1519,intelligente,338,intelligente,intelligent,inteligente,intelligente
1520,esci,338,esci,you go out,sales,esci
1521,tuvok,337,tuvok,tuvok,tuvok,tuvok
1522,seduto,337,sedere,sitting,sesión,seduta
1523,nuovi,337,nuovo,new,nuevo,nuovo
1524,desiderio,337,desiderio,wish,desear,desiderio
1525,comune,337,comune,common,común,comune
1526,carriera,337,carriera,career,carrera,carriera
1527,stronzate,336,stronzata,bullshit,mierda,cazzate
1528,grave,336,grave,serious,grave,serio
1529,collo,336,collo,neck,cuello,collo
1530,bellissimo,336,bello,Beautiful,Hermoso,Bellissimo
1531,stavi,335,stavare,you were,estabas,tu eri
1532,sembrano,335,sembrare,they seem,ellos parecen,sembrano
1533,frankenstein,335,frankensteino,frankenstein,frankenstein,Frankenstein
1534,fortunato,335,fortunato,lucky,afortunado,fortunato
1535,faranno,335,fare,they will,ellos van a,lo faranno
1536,bè,335,bè,well,Bueno,BENE
1537,ascolti,335,ascolto,you listen,tu escuchas,ascolti
1538,visti,334,vedere,seen,visto,visto
1539,robert,334,robert,robert,roberto,Roberto
1540,massimo,334,massimo,maximum,máximo,massimo
1541,fiducia,333,fiducia,trust,confianza,Fiducia
1542,riguarda,332,riguardare,regard,respecto,considerare
1543,maledizione,332,maledizione,curse,maldición,maledizione
1544,lettere,332,lettera,letters,letras,lettere
1545,correre,332,correre,run,correr,correre
1546,urla,331,urla,yell out,gritar,urla
1547,stesse,331,stesso,themselves,ellos mismos,loro stessi
1548,prezzo,331,prezzo,price,precio,prezzo
1549,pazza,331,pazzo,crazy,loco,pazzo
1550,guida,331,guida,guide,guía,guida
1551,semplicemente,330,semplicemente,simply,simplemente,semplicemente
1552,piaciuto,330,piacere,liked,apreciado,è piaciuto
1553,egli,330,egli,they,ellos,Essi
1554,peter,329,peter,peter,pedro,Peter
1555,sapevi,328,sapevi,you knew,supieras,lo sapevi
1556,ottima,328,ottimo,Great,Excelente,Grande
1557,innocente,328,innocente,innocent,inocente,innocente
1558,braccia,328,braccio,arm,brazo,braccio
1559,strana,327,strano,strange,extraño,strano
1560,idee,327,idea,ideas,ideas,idee
1561,costa,327,costare,it costs,cuesta,Costa
1562,certe,327,certo,certain,cierto,certo
1563,ricco,326,ricco,rich,rico,ricco
1564,doc,326,doc,doc,doc,doc
1565,dirle,326,dire le,tell her,Dile a ella,Dillo a lei
1566,immediatamente,325,immediatamente,immediately,inmediatamente,subito
1567,eroe,325,eroe,hero,héroe,eroe
1568,ringrazio,324,ringraziare,I thank,agradezco,Ringrazio
1569,partito,324,partire,match,fósforo,incontro
1570,mal,324,male,bad,malo,Cattivo
1571,madame,324,madama,madame,señora,signora
1572,dovevi,324,dovovere,you had to,usted tenia que,Dovevi
1573,purtroppo,323,purtroppo,Unfortunately,Desafortunadamente,Purtroppo
1574,portata,323,portare,scope,alcance,scopo
1575,cappello,322,cappello,hat,sombrero,cappello
1576,arte,322,arte,art,arte,arte
1577,suona,321,suonare,it sounds,suena,sembra
1578,prendete,321,prendere,take,llevar,Prendere
1579,dipende,321,dipendere,Depends,depende,Dipende
1580,vedete,320,vedere,you see,verás,vedi
1581,utile,320,utile,useful,útil,utile
1582,rispondere,319,rispondere,answer,respuesta,risposta
1583,resti,319,resto,remains,restos,resti
1584,phoebe,319,phoebe,phoebe,phoebe,Febe
1585,ognuno,319,ognuno,each one,cada uno,ognuno
1586,giudice,319,Giudice,judge,juez,giudice
1587,scegliere,318,scegliere,choose,elegir,scegliere
1588,mangiato,318,mangiare,ate,comió,mangiò
1589,darò,318,darò,I will give,daré,darò
1590,tommy,317,Tommy,tommy,tommy,tommy
1591,fucile,317,fucila,rifle,rifle,fucile
1592,buoni,317,buono,good,bien,Bene
1593,bianca,317,bianco,white,blanco,bianco
1594,malato,316,malare,sick,enfermo,malato
1595,aiutarmi,316,aiutare mi,help me,ayúdame,aiutami
1596,victor,315,victor,victor,Víctor,vincitore
1597,relazione,315,relazione,relation,relación,relazione
1598,leggi,315,legge,laws,leyes,legislazione
1599,averla,315,avere la,have it,tenerlo,averlo
1600,uso,314,uso,use,usar,utilizzo
1601,pensiero,314,pensiero,thought,pensamiento,Pensiero
1602,messa,314,messa,mass,masa,massa
1603,documenti,314,documento,documents,documentos,documenti
1604,chiede,314,chiedere,he asks,él pide,lui chiede
1605,bottiglia,314,bottiglia,bottle,botella,bottiglia
1606,zia,313,zio,aunt,tía,zia
1607,riunione,313,riunione,meeting,reunión,incontro
1608,orribile,313,orribile,horrible,horrible,orribile
1609,nomi,313,nome,names,nombres,nomi
1610,muro,313,muro,wall,muro,parete
1611,miglior,313,miglior,best,mejor,migliore
1612,condizioni,313,condizione,conditions,condiciones,condizioni
1613,ridicolo,312,ridicolo,ridiculous,ridículo,ridicolo
1614,qualcun,312,qualcuno,someone,alguien,qualcuno
1615,pensate,312,pensare,think,pensar,pensare
1616,vittima,311,vittima,victim,víctima,vittima
1617,tenga,311,tenere,hold on,esperar,aspettare
1618,santa,311,Santa,holy,santo,santo
1619,presenza,311,presenza,presence,presencia,presenza
1620,o',311,o,or&#39;,o&#39;,O&#39;
1621,eppure,311,eppure,nevertheless,sin embargo,tuttavia
1622,animale,311,animale,animal,animal,animale
1623,aiutarla,311,aiutare la,help her,ayudarla,aiutala
1624,nera,310,nero,Black,Negro,Nero
1625,dl,310,dl,dl,dl,dl
1626,diventa,310,diventare,becomes,se convierte,diventa
1627,corsa,310,corsa,race,carrera,gara
1628,capace,310,capace,to be able,ser capaz,essere in grado
1629,flotta,309,flotta,fleet,flota,flotta
1630,accaduto,309,accadere,happened,sucedió,accaduto
1631,sposata,308,sposare,married,casado,sposato
1632,sentimenti,308,sentimento,feelings,sentimientos,sentimenti
1633,sensazione,308,sensazione,sensation,sensación,sensazione
1634,corri,308,corrare,run,correr,correre
1635,congratulazioni,308,congratulazione,Congratulations,Felicidades,Congratulazioni
1636,abbiano,308,avere,have,tener,Avere
1637,vicini,307,vicino,neighbors,vecinos,vicinato
1638,sedia,306,sedia,chair,silla,sedia
1639,ferito,306,ferire,wound,herida,ferita
1640,distrutto,306,distruggere,destroyed,destruido,distrutto
1641,club,306,club,club,club,club
1642,rischio,305,rischio,risk,riesgo,rischio
1643,pietà,305,pietà,compassion,compasión,compassione
1644,periodo,305,periodo,period,período,periodo
1645,coltello,305,coltello,knife,cuchillo,coltello
